Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	4.745667457580566	-380.24023	0.0	-380.24023	-380.24023	1000.0	964.36346	0.0	964.36346	964.36346	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-54.9479	38.586746	8.726243	-121.20154	-54.95554	38.505413	8.633065	-121.82493	0.14162801	0.36296457	1.3241199	-1.1521711	55.097164	38.507355	122.446655	-8.467639	55.24472	38.295364	122.446655	0.009621183	0.89934635	0.2895788	1.0908295	-0.84676385	4518.515	4493.4365	14993.184	9.256716e-05	55.125023	38.652775	123.071556	9.256716e-06
1	1999	10.318066835403442	-358.08673	0.0	-358.08673	-358.08673	1000.0	964.36346	0.0	964.36346	964.36346	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-67.24337	44.401398	2.498217	-140.49538	-67.38492	44.392998	2.6301289	-141.46031	0.14533685	0.362193	1.2505165	-0.94260573	67.53026	44.377518	142.01593	-3.118272	67.58168	44.299164	142.01593	0.02902554	0.9161509	0.24763198	1.076742	-0.3118272	6529.6997	5374.988	20168.527	0.000842482	67.46758	44.6613	142.93213	8.4248204e-05
2	2999	15.762478590011597	-14.571307	35.704567	23.749765	-108.24556	90.2	972.42267	0.0	972.42267	972.42267	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-84.90149	33.16405	-0.2075586	-115.975044	-85.01404	33.1529	-0.2075586	-115.97271	0.1345311	0.35348225	1.320827	-0.9972896	85.14857	33.15842	116.38096	0.19477996	85.14857	33.15842	116.38096	0.19477996	0.98543465	0.101051	1.0901968	0.019477997	8349.759	4477.5034	13544.528	0.037939236	85.22257	33.319183	116.79065	0.0037939236
3	3999	19.314364910125732	-21.863068	37.32198	4.467001	-85.877014	84.0	972.8621	0.0	972.8621	972.8621	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.98598	26.433052	3.002846	-96.51991	-36.957893	26.441734	3.0464792	-96.32109	0.15882921	0.3528352	1.4347613	-1.0459095	37.11672	26.448713	96.70576	-2.8382075	37.17803	26.362465	96.70576	0.025153823	0.89472777	0.278984	1.0927563	-0.28382075	2077.1853	2307.3105	9352.003	0.00063271483	37.043995	26.747988	97.09196	6.327149e-05
4	4999	24.976320028305054	-114.89539	140.84811	-5.842436	-354.56287	296.75	930.6344	0.0	930.6344	930.6344	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-70.7387	36.479145	5.3338213	-107.175735	-70.57666	36.22625	4.6879153	-106.952225	0.14130194	0.34873697	1.419494	-1.0271392	70.71796	36.20984	107.02027	-4.688557	70.77451	36.099163	107.02027	0.2308421	0.9449349	0.21002862	1.0861439	-0.4688557	6312.182	4236.7153	11453.338	0.053288072	70.74108	36.412807	107.76346	0.005328807
5	5999	57.59593677520752	-253.72215	235.50996	-18.21219	-489.23212	515.0	-1.8825171	0.0	-1.8825171	-1.8825171	16.0	-0.9769418	1.1577755	5.6545835	-9.27884	0.42494088	1.0255415	3.5573323	29.081976	-15.086012	0.72281283	0.01	0.0	0.01	0.01	0.0	0.84582233	0.6488277	19.552845	5.811453e-07	21.044428	1.6146256	23.91613	13.175527	15.468409	1.6622897	18.308655	8.247787	-0.43621415	0.36520448	1.5908493	-3.1262245	-15.904624	1.6584057	-7.8762593	-19.255074	15.904624	1.6584057	19.255074	7.8762593	-1.0278355	0.029997535	-0.7876259	-1.2616711	255.70735	50.06686	370.7578	62.03546	16.353857	1.7696688	21.383316	6.203546
6	6999	91.58496165275574	69.02583	0.0	69.02583	69.02583	1000.0	667.7768	0.0	667.7768	667.7768	1000.0	-1.2103859	2.0359519	10.5342	-13.445128	0.6611544	4.201533	3.0499203	20.625895	-11.491029	0.6162689	0.01	0.0	0.01	0.01	0.0	0.5737202	0.4764378	5.291537	1.1920929e-07	58.46901	6.257326	66.87079	39.172646	49.316475	6.158951	57.514652	30.140661	1.7254834	0.7228917	5.264296	-3.023244	-47.590984	5.9725437	-27.70073	-57.620525	47.590984	5.9725437	57.620525	27.70073	-0.9650846	0.015962824	-0.88260967	-1.08005	2300.5732	534.9995	3320.125	767.3304	45.93668	5.8626146	58.836323	25.458313
7	7999	125.4975037574768	291.78424	292.66013	584.4444	-0.8758974	511.5	801.08466	0.0	801.08466	801.08466	1000.0	0.46309713	2.6669118	15.791366	-13.950106	0.61517066	6.5188766	3.0295968	22.382605	-10.715277	-1.3009495	0.01	0.0	0.01	0.01	0.0	0.5306081	0.47573063	6.2499237	7.4505806e-08	47.301044	14.882983	71.78696	0.083826765	37.941936	13.549194	61.271133	0.083826765	3.3319566	1.8824738	12.319021	-4.3277464	-34.609974	13.5316725	12.235194	-59.007507	34.749622	13.168916	59.007507	0.022115676	-0.8756909	0.20775416	1.2235194	-1.3035952	1380.9567	886.285	3481.8857	0.00048910314	31.942162	12.828906	58.365757	4.891031e-05
8	8999	159.39419198036194	242.13042	352.2325	740.2624	-7.129614	351.33334	806.72424	0.0	806.72424	806.72424	1000.0	3.0574176	3.0908432	20.049227	-14.192415	0.51210964	7.834674	3.2438667	25.38658	-9.368201	-3.964144	0.01	0.0	0.01	0.01	0.0	0.5223099	0.5137277	7.2202396	5.289912e-07	58.357677	21.937963	86.24158	-8.117488	48.263317	21.508427	74.94072	-17.41769	6.2271895	2.1097739	18.93288	-5.253126	-42.036125	21.316586	24.522358	-68.84744	43.400967	18.37904	68.84744	0.13950694	-0.75425565	0.453631	1.7228721	-1.0208721	2221.4329	1502.1896	4739.97	0.019462187	38.597424	17.46107	64.88806	0.0019462187
9	9999	193.29012513160706	846.1993	0.0	846.1993	846.1993	1000.0	688.62024	0.0	688.62024	688.62024	1000.0	6.0181694	3.4731958	23.319414	-12.412251	0.44641098	8.731104	3.3410969	27.46868	-9.38743	-6.9383984	0.01	0.0	0.01	0.01	0.0	0.54086787	0.57023174	7.892125	2.0861626e-07	67.99724	15.468406	85.42515	5.063437	56.83219	15.240419	74.14748	-4.4166837	9.837122	1.7309707	15.319274	1.7597896	-46.995068	14.200415	14.8509	-65.61142	47.24488	13.345775	65.61142	0.4856284	-0.79171896	0.2241258	1.48509	-0.95879287	2410.188	1091.5808	4304.859	0.23583494	39.318584	11.790901	60.111385	0.023583494
