Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.311509132385254	17.805092	18.830421	116.31808	4.1791897	20.244898	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3388443	6.663066	38.634113	-2.8871653	9.617719	9.024045	53.485687	-0.4885663	0.020464633	0.20484304	0.9898787	-0.5116168	-9.597255	8.989435	0.4712731	-53.45844	9.59969	8.986835	53.45844	0.0001473061	-0.6435382	0.35638976	0.04712731	-1.0271553	172.91724	346.7463	2857.8047	2.1699085e-08	8.562344	9.553737	53.431202	2.1699085e-09
1	1999	2.536482334136963	17.651352	18.217997	116.31808	4.1791897	20.0	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.910364	12.674937	58.21284	-1.4719443	15.127336	17.682154	81.102776	-0.7724267	-0.0027694388	0.19679053	0.85960317	-0.5937648	-15.130102	17.62168	0.73570263	-81.13565	15.136021	17.616598	81.13565	0.011786406	-0.68893594	0.3560043	0.07357027	-1.0299072	539.44366	1186.9515	6582.9937	0.00013891936	14.239843	18.11486	81.16854	1.3891937e-05
2	2999	3.7594926357269287	14.312927	9.851372	60.09726	4.4340734	19.211538	14.179233	0.0	14.179233	14.179233	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.691361	8.872643	40.37658	-1.1600287	13.028648	12.623556	56.086697	-1.9978504	0.014014489	0.17808674	0.79372823	-0.41851902	-13.014633	12.6029825	1.9461052	-56.096966	13.029984	12.5871105	56.096966	0.0036997846	-0.6904428	0.35655528	0.19461052	-1.0242759	328.21582	569.8172	3146.8696	1.3688407e-05	12.1398535	13.181421	56.107235	1.3688407e-06
3	3999	5.002419471740723	17.543024	11.5968685	55.88636	4.821474	21.73913	15.235069	0.0	15.235069	15.235069	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3728356	8.29555	55.499645	-1.2615305	9.712426	11.530432	77.648476	-0.5392536	-0.010715322	0.16777639	0.7403084	-0.49515897	-9.723141	11.507126	0.51464427	-77.69494	9.726641	11.504168	77.69494	0.010666548	-0.63493145	0.35523957	0.051464424	-1.0256132	226.95341	730.7495	6036.503	0.00011377525	8.664627	11.98811	77.74142	1.1377525e-05
4	4999	6.249993801116943	19.482939	22.068974	140.57355	5.64561	23.452381	15.456269	0.0	15.456269	15.456269	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9369516	5.2687497	25.899164	-2.2096133	9.322787	7.213102	33.693527	-1.6727582	0.0023351125	0.19026738	0.76826936	-0.43108243	-9.320451	7.200641	1.653356	-33.745567	9.335962	7.1805196	33.745567	0.012606192	-0.664874	0.35966003	0.1653356	-1.0345879	138.72005	184.67915	1138.7633	0.00015891608	8.382547	7.825547	33.797688	1.5891608e-05
5	5999	26.955468893051147	51.010715	27.68089	100.342354	8.50115	36.17857	44.57529	0.0	44.57529	44.57529	26.0	3.8504426	2.4074247	15.429559	-1.8102676	0.2679494	-1.6400647	0.9144665	3.3062458	-8.443221	-4.5986724	0.3	0.0	0.3	0.3	0.0	0.7631257	0.5670806	4.6948485	1.2088567e-06	29.389425	14.105458	57.9526	1.8515797	36.175426	18.068916	77.410286	1.8515797	11.285613	2.1423903	16.568909	7.003627	-24.889816	19.633036	11.672442	-69.48226	26.529425	17.353632	69.48226	0.028847247	-0.48622176	0.48903608	1.1672442	-0.89828694	1004.9589	1007.2588	4827.785	0.00083216367	20.359985	15.643791	62.366196	6.644856e-05
6	6999	48.10374665260315	107.51164	45.793465	226.52345	43.911507	56.882355	166.69374	0.0	166.69374	166.69374	83.0	10.778476	4.824595	30.418074	-4.872535	1.3976326	-0.71387136	1.5528599	6.1637044	-11.089353	-11.984133	0.3	0.0	0.3	0.3	0.0	0.873501	0.60060304	4.254437	3.0398369e-06	66.55044	31.823727	122.68193	1.8236184	79.26339	38.4149	147.82028	1.8236184	22.658455	2.6249404	29.756157	10.960315	-56.604935	38.868385	25.279167	-129.75421	58.774914	35.501823	129.75421	0.24032053	-0.51402116	0.57030785	2.5279167	-0.88516396	4714.8696	4351.3433	16836.154	0.05775396	45.529987	30.756857	114.85375	0.0021616998
7	7999	69.23923635482788	200.63661	33.449963	243.07497	125.09439	93.818184	222.20674	0.0	222.20674	222.20674	107.0	19.645306	7.2443833	42.029514	-7.9601192	3.7464223	-0.05916925	1.9297539	8.245426	-11.872408	-21.463	0.3	0.0	0.3	0.3	0.0	0.97580934	0.64549625	5.0138116	5.1259995e-06	92.49912	38.530903	146.17532	2.4439955	106.63354	45.600533	170.6382	2.4439955	32.64137	2.8841615	40.32997	19.513535	-73.99216	45.992565	30.046791	-142.46997	76.73068	41.26206	142.46997	0.12598051	-0.49585518	0.6215058	3.0046792	-0.8491301	7590.156	5902.3135	20297.691	0.01587109	57.975304	34.354916	120.659996	0.00048695982
8	8999	90.39288926124573	254.83421	18.686468	278.6244	225.08607	113.75	213.47507	0.0	213.47507	213.47507	101.0	29.73369	9.240369	57.159428	-14.434097	6.7917676	0.15969728	2.0629752	8.8886	-12.4667	-32.017124	0.3	0.0	0.3	0.3	0.0	0.9964702	0.6735431	4.6461535	8.940697e-07	87.90128	39.904522	145.5165	2.2692785	98.671005	46.08158	165.41151	2.2692785	43.12835	4.5644045	52.29329	21.909231	-55.54266	45.25087	40.368412	-126.34687	61.002174	37.5681	126.34687	0.098286025	-0.28553003	0.7866588	4.036841	-0.78568107	5132.6284	4697.5166	15963.532	0.0096601425	42.543175	30.535072	162.96086	0.00023226715
9	9999	111.61293506622314	273.85242	15.941284	295.43564	246.69807	124.0	298.89853	0.0	298.89853	298.89853	130.0	39.91621	11.019128	70.42333	-19.353867	9.76457	0.24672337	2.122912	10.883147	-12.047194	-42.50556	0.3	0.0	0.3	0.3	0.0	0.986762	0.6890091	4.8795433	2.451241e-06	114.206505	46.51764	163.00249	2.7543323	122.195816	52.557	183.76895	2.7543323	52.98648	14.681788	67.13291	-5.409419	-69.209335	43.51913	-0.014164861	-132.6021	69.209335	43.51913	132.6021	0.014164861	-0.4962528	0.19678958	-0.00083234085	-0.9978319	6683.8477	5663.263	17583.314	0.0002006433	42.018913	31.499632	98.33258	1.1789994e-05
10	10999	132.87152552604675	300.1103	13.737819	314.8057	277.099	128.75	320.2349	0.0	320.2349	320.2349	138.0	49.89827	13.211227	83.055984	-25.196875	11.891241	0.3356646	2.1505446	12.835373	-11.184984	-52.699577	0.3	0.0	0.3	0.3	0.0	0.9789829	0.69799966	5.1075325	1.475215e-06	118.39432	48.101486	167.22903	2.483719	128.34264	54.451958	187.54114	2.483719	63.751324	20.74138	84.29535	-15.663004	-64.59132	41.498394	-1.8930628	-127.22017	64.59132	41.498394	127.22017	1.8930628	-0.47355273	0.23358159	-0.037336785	-1.8407735	5894.155	5261.119	16184.971	3.5836868	35.675507	27.670174	88.70632	0.07068088
11	11999	153.98426580429077	309.24207	7.416174	322.8686	298.5917	132.625	303.37323	0.0	303.37323	303.37323	128.0	59.265663	15.839262	94.283585	-31.298853	14.188573	0.39689478	2.2058969	13.293279	-12.634964	-62.211388	0.3	0.0	0.3	0.3	0.0	0.9784685	0.70960265	5.0975895	8.34465e-07	115.21426	47.96951	163.1002	2.5163193	123.66599	54.095615	184.68056	2.5163193	72.10057	24.012075	95.1429	-11.857367	-51.56542	38.433197	2.0812175	-114.7656	51.575558	38.419594	114.7656	0.07866744	-0.36859918	0.20889248	0.09875606	-1.4748812	4136.103	4191.613	13171.143	0.0061885663	24.942888	23.031681	73.304596	8.458491e-05
12	12999	175.23236775398254	291.35495	8.390276	300.15372	278.00552	122.5	295.69135	0.0	295.69135	295.69135	124.0	67.92187	18.607586	108.45719	-35.93215	15.882781	0.4306927	2.2361948	13.945021	-10.898027	-70.924286	0.3	0.0	0.3	0.3	0.0	0.9687884	0.7147853	5.654795	1.7881393e-07	114.0446	47.32001	163.04082	2.672286	119.17939	51.584038	180.35376	2.672286	79.66253	24.948318	105.5864	-4.3652773	-39.51686	35.56217	11.714774	-102.19477	40.65776	34.251953	102.19477	0.0052475412	-0.24310493	0.23934856	1.0635002	-0.73516595	2826.2498	3067.2493	10443.7705	2.7536691e-05	17.404545	17.906385	58.712646	9.01719e-07
13	13999	196.37987065315247	276.60565	10.564829	290.13757	260.74615	116.625	281.51675	0.0	281.51675	281.51675	117.0	75.94632	21.156187	119.054306	-41.034363	17.09447	0.46376613	2.2607915	14.029079	-10.457504	-79.0235	0.3	0.0	0.3	0.3	0.0	0.9591417	0.72182363	5.388626	4.4703484e-07	111.482285	45.758648	158.4309	2.8209364	116.27571	49.57242	171.48654	2.8209364	88.74582	27.102339	118.96161	2.2818098	-27.52989	34.554817	20.515577	-86.44248	34.390408	27.734991	86.44248	0.018274385	-0.12748545	0.27701163	0.6402552	-0.5150432	1951.93	2217.2295	7472.303	0.00033395315	12.6453085	13.165889	44.52161	2.9382018e-06
14	14999	217.67454743385315	278.72696	11.60646	294.24295	257.33286	116.22222	262.53583	0.0	262.53583	262.53583	109.0	83.39464	23.676292	129.70177	-43.497166	18.049826	0.4862978	2.2922814	14.990629	-14.3062	-86.486626	0.3	0.0	0.3	0.3	0.0	0.9527403	0.72330433	7.6135683	1.9222498e-06	108.54485	44.055393	155.73572	2.9458952	112.33017	47.41362	168.67181	2.9458952	95.16554	27.261988	127.80599	4.520918	-17.164623	33.11729	31.292093	-74.93125	31.337915	20.231514	74.93125	0.02739509	-0.016172232	0.33877617	1.0533617	-0.4583585	1391.3793	1451.3645	5614.6924	0.00075049093	10.518641	8.300108	34.345375	6.1825494e-06
15	15999	238.93578171730042	274.14688	9.262456	294.9271	262.72458	112.55556	263.13516	0.0	263.13516	263.13516	110.0	89.8688	26.209002	138.22694	-45.203087	19.28712	0.4205751	2.2774682	16.204136	-11.409338	-92.9534	0.3	0.0	0.3	0.3	0.0	0.92658293	0.7151311	5.894805	8.046627e-07	108.17455	43.846985	152.20682	2.7372446	110.23163	46.087868	164.66286	2.7372446	99.49999	31.851673	138.96661	-2.8762965	-10.731636	26.995733	27.972134	-62.91488	24.176863	16.106428	62.91488	0.11775309	-0.0063665765	0.2605575	1.2350961	-0.585805	843.93774	968.0826	3958.282	0.013865789	6.455284	5.82996	24.78829	0.00011174517
16	16999	260.1556797027588	265.5332	16.45387	292.70248	238.38	111.111115	272.2082	0.0	272.2082	272.2082	110.0	95.57018	28.797682	148.01443	-50.362446	20.13874	0.4105346	2.2903793	16.46709	-10.823164	-98.727005	0.3	0.0	0.3	0.3	0.0	0.91385067	0.7094561	6.613666	1.3411045e-06	112.26609	45.215763	161.09581	2.8589325	115.13547	47.73257	176.45578	2.8589325	102.52353	33.988552	140.97893	-1.6514275	-12.611942	26.304527	30.557976	-68.601135	23.052528	17.876526	68.601135	0.010382446	-0.031399436	0.2492401	1.8191442	-0.45103598	850.98926	1069.6383	4706.116	0.00010779518	6.019066	6.597144	33.092857	3.3290607e-06
17	17999	281.20492577552795	276.54437	15.820478	295.76312	237.87506	113.111115	242.90485	0.0	242.90485	242.90485	99.0	100.552666	31.085384	151.69576	-49.528217	20.247152	0.33820346	2.2768116	16.4852	-10.1668215	-103.64594	0.3	0.0	0.3	0.3	0.0	0.8845226	0.6987805	5.77024	3.952533e-06	106.06649	41.93963	153.98126	3.2079134	109.66461	44.52443	168.76291	3.2079134	104.49426	34.91522	144.6508	-2.763873	-5.1703553	22.67034	39.83448	-56.265015	19.057352	13.322697	56.265015	0.0068759774	0.015509661	0.23853241	1.3492101	-0.61029303	540.67694	649.82965	3165.752	4.7279063e-05	4.4412813	4.444875	18.758575	5.8085436e-07
