Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	4.241756439208984	-27.338823	26.886124	-3.8178897	-71.83286	80.25	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.88142	39.497974	10.876185	-144.65662	-48.88142	39.497974	10.876185	-144.65662	0.16892701	0.36100048	1.7720551	-0.9403382	49.050354	39.492397	145.53111	-11.077323	49.520725	38.900955	145.53111	0.11568108	0.8619758	0.36699995	1.0644705	-1.0184934	3965.5862	4612.8794	21179.305	0.013382113	49.309555	39.34012	146.41089	0.0013382114
1	1999	9.36545991897583	-65.52234	107.431885	12.008381	-310.5375	207.625	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-74.10312	37.856396	6.841149	-130.53026	-74.10312	37.856396	6.841149	-130.53026	0.1277751	0.31974703	1.3421358	-0.8868837	74.2309	37.846222	131.20924	-6.697405	74.46577	37.38197	131.20924	0.02060565	0.9071439	0.29540098	1.0669669	-0.6697405	6942.563	4505.5767	17215.867	0.0004245928	74.35233	37.83114	131.89177	4.2459284e-05
2	2999	13.91206669807434	-390.4896	0.0	-390.4896	-390.4896	1000.0	937.44196	0.0	937.44196	937.44196	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-49.486233	35.78517	10.135478	-105.6277	-49.486233	35.78517	10.135478	-105.6277	0.15741616	0.34010538	1.5356193	-1.0214739	49.643646	35.778427	105.55463	-9.495825	50.073566	35.174213	105.55463	0.09772391	0.88081384	0.3525897	1.1153835	-0.9489675	3744.5876	3950.282	11141.779	0.009549962	49.93768	35.55691	106.34935	0.0009549962
3	3999	18.349672555923462	-54.080395	35.98013	-26.114645	-104.87756	88.0	928.5981	0.0	928.5981	928.5981	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-58.26096	39.466812	0.8667238	-128.9721	-58.26096	39.466812	0.8667238	-128.9721	0.12896642	0.32660708	1.7118573	-0.73731506	58.389923	39.466934	130.26648	-0.72375244	58.3943	39.46046	130.26648	0.008894163	0.95694315	0.16851252	1.070569	-0.072375245	4967.022	4758.6206	16969.355	7.910613e-05	58.3521	39.698986	131.57385	7.910614e-06
4	4999	24.84525227546692	-160.96135	144.78775	-16.173592	-305.7491	513.0	932.88116	0.0	932.88116	932.88116	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-79.00858	29.581484	1.4513868	-133.0245	-79.00858	29.581484	1.4513868	-133.0245	0.14349574	0.34418097	1.5003397	-0.8106793	79.15208	29.581327	134.14844	-1.8092053	79.16451	29.548027	134.14844	0.15516558	0.96473485	0.16593389	1.1012388	-0.18092053	7140.106	3413.2515	17995.803	0.024076357	79.20294	29.823574	135.41792	0.0024076358
5	5999	58.12689685821533	-730.68915	0.0	-730.68915	-730.68915	1000.0	468.424	0.0	468.424	468.424	1000.0	-1.2478753	1.2803982	6.3512115	-10.50438	0.4856538	58.28359	25.574244	163.1963	-11.248162	0.9502922	0.0	0.0	0.0	0.0	0.0	3.2445028	3.9687622	51.488056	1.44355e-07	38.22737	5.5102673	50.2954	22.68426	38.22737	5.5102673	50.2954	22.68426	-0.52810067	1.0175518	3.7032895	-6.373906	-38.75547	5.3398075	-23.479439	-51.44213	38.75547	5.3398075	51.44213	23.479439	-1.0152287	0.029514842	-0.91257	-1.233142	1530.4998	407.76196	2646.293	551.28406	39.321106	5.3534255	53.247753	23.484295
6	6999	91.43605399131775	-473.20367	0.0	-473.20367	-473.20367	1000.0	842.82153	0.0	842.82153	842.82153	1000.0	-1.1198759	2.2913666	12.356024	-12.921305	0.66833276	72.315895	30.475838	157.72891	-4.509597	0.21505666	0.0	0.0	0.0	0.0	0.0	0.4366942	0.47559932	28.523062	2.1683081e-07	77.85104	1.9765224	82.33886	67.32507	77.85104	1.9765224	82.33886	67.32507	2.4536917	0.6129155	5.2377787	-1.6976104	-75.39735	1.7590193	-65.41172	-82.25209	75.39735	1.7590193	82.25209	65.41172	-0.968567	0.007839788	-0.9262283	-1.0229781	5687.8535	258.35892	6765.4067	4278.693	73.025566	1.7354623	82.993774	60.91065
7	7999	124.60434150695801	806.74976	0.0	806.74976	806.74976	1000.0	735.4833	0.0	735.4833	735.4833	1000.0	1.6583674	3.01189	18.938063	-13.017122	0.5622663	84.95732	37.46026	166.00754	13.234072	-2.8175948	0.0	0.0	0.0	0.0	0.0	0.4172358	0.40486166	5.7995315	1.610897e-08	79.982704	4.8068533	87.66799	71.491615	79.982704	4.8068533	87.66799	71.491615	6.112859	1.2455993	10.303122	2.1854312	-73.86985	4.41956	-64.33043	-83.43653	73.86985	4.41956	83.43653	64.33043	-0.92369163	0.01435004	-0.8700711	-0.97384936	5476.2866	654.42096	6961.6543	4138.4043	68.24049	4.329368	80.95995	57.747765
8	8999	157.37662816047668	799.8638	0.0	799.8638	799.8638	1000.0	634.60016	0.0	634.60016	634.60016	1000.0	5.3294415	3.24117	25.304638	-12.301672	0.4529872	91.861435	43.20348	175.91049	15.841616	-6.5854135	0.0	0.0	0.0	0.0	0.0	0.466941	0.49100733	8.872369	2.0838343e-08	63.548573	19.74944	87.91707	31.87243	63.548573	19.74944	87.91707	31.87243	7.675703	1.6683592	17.103334	3.044694	-55.87287	18.588346	-22.852798	-79.49113	55.87287	18.588346	79.49113	22.852798	-0.87229896	0.033463966	-0.5847308	-0.9324684	3467.3047	2067.9678	6318.839	522.25037	49.178562	17.423908	72.84979	14.081956
9	9999	189.28651118278503	366.88724	363.56244	730.4497	3.3247848	522.5	4.6323347	0.0	4.6323347	4.6323347	66.0	9.186226	3.243158	29.9099	-9.537951	0.39866465	97.17611	47.143806	181.22664	23.798037	-10.437179	0.0	0.0	0.0	0.0	0.0	0.5133606	0.57724106	10.183744	2.0756852e-07	67.726	18.586258	86.66156	14.14306	67.726	18.586258	86.66156	14.14306	12.920986	1.9936934	19.18171	1.4997971	-54.80501	18.24495	2.0930278	-73.05789	54.812027	18.223856	73.05789	0.050095037	-0.78159136	0.124716826	0.14798974	-0.97296506	3336.4673	1598.4344	5337.4556	0.0025095127	44.765076	16.638784	62.432632	0.00017078256
