Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.2406976222991943	17.805092	18.830421	116.31808	4.1791897	20.244898	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3388443	6.663066	38.634113	-2.8871653	17.268425	15.792653	88.139366	-4.991822	0.020464633	0.20484304	0.9898787	-0.5116168	-17.247963	15.782667	5.457609	-88.112114	17.326096	15.696854	88.112114	0.0001473061	-0.75631434	0.35800537	0.5457609	-1.0349804	546.58484	956.866	7763.7446	2.1699085e-08	16.67684	16.21011	88.08487	2.1699085e-09
1	1999	2.389863967895508	17.651352	18.217997	116.31808	4.1791897	20.0	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.910364	12.674937	58.21284	-1.4719443	27.300266	30.013435	137.92514	-2.0209062	-0.0027694388	0.19679053	0.85960317	-0.5937648	-27.303036	29.96187	1.6175109	-137.95802	27.326738	29.940252	137.95802	0.009011208	-0.80181867	0.33284745	0.16175109	-1.0365002	1643.1693	3356.2566	19032.416	8.120187e-05	26.810432	30.292765	137.9909	8.120187e-06
2	2999	3.5349555015563965	14.312927	9.851372	60.09726	4.4340734	19.211538	14.179233	0.0	14.179233	14.179233	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.691361	8.872643	40.37658	-1.1600287	23.148987	22.623356	104.0303	-5.049818	0.014014489	0.17808674	0.79372823	-0.41851902	-23.134972	22.622631	4.9980726	-104.040565	23.227127	22.528002	104.040565	0.0036997846	-0.77700084	0.35519454	0.49980727	-1.0281624	1047.0104	1796.8624	10824.438	1.3688407e-05	22.658684	22.998957	104.050835	1.3688407e-06
3	3999	4.714668273925781	17.543024	11.5968685	55.88636	4.821474	21.73913	15.235069	0.0	15.235069	15.235069	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3728356	8.29555	55.499645	-1.2615305	17.504803	19.620193	129.32909	-3.024528	-0.010715322	0.16777639	0.7403084	-0.49515897	-17.515518	19.604551	3.382504	-129.37555	17.54121	19.581566	129.37555	0.010666548	-0.7625698	0.346594	0.3382504	-1.0362281	691.1318	1991.0605	16738.031	0.00011377525	16.906157	20.005741	129.42203	1.1377525e-05
4	4999	5.881222486495972	19.482939	22.068974	140.57355	5.64561	23.452381	15.456269	0.0	15.456269	15.456269	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9369516	5.2687497	25.899164	-2.2096133	17.223068	13.52909	64.86911	-4.673764	0.0023351125	0.19026738	0.76826936	-0.43108243	-17.220736	13.549889	4.9540215	-64.92115	17.313766	13.430811	64.92115	0.012606192	-0.7766947	0.35739413	0.49540216	-1.0285232	480.15317	629.2244	4214.756	0.00015891608	16.769508	13.981208	64.973236	1.5891608e-05
5	5999	26.78053069114685	36.762917	46.988632	202.55713	7.6926923	34.86207	86.18755	0.0	86.18755	86.18755	58.0	7.1348467	3.660814	23.3814	-3.1180577	1.0872593	-1.9570557	0.48384592	1.8131454	-7.3476696	-9.276963	1.0	0.0	1.0	1.0	0.0	0.72404706	0.54744697	4.575052	1.1920929e-06	55.23211	28.978464	108.06675	1.1154785	132.34602	78.89483	268.89697	1.1154785	16.584148	3.129596	25.136856	8.106965	-115.76188	80.50207	20.005693	-255.38722	116.933556	78.79044	255.38722	0.06648725	-0.70716816	0.46927065	2.0005693	-0.96858025	19881.393	21155.613	65222.63	0.0044205543	104.84117	76.66168	246.00433	0.00021463603
6	6999	48.09711790084839	131.3769	52.22065	222.72519	45.56301	90.4	183.70314	0.0	183.70314	183.70314	87.0	17.81369	6.7097726	41.79958	-8.017929	2.8057587	-1.6205709	0.914723	3.3537164	-11.079506	-20.35177	1.0	0.0	1.0	1.0	0.0	0.74290925	0.55165607	4.4685907	9.313226e-09	78.69176	38.078606	151.21828	1.643174	139.81505	69.52935	266.04233	1.643174	34.36926	3.456601	41.611813	24.864265	-105.44578	70.809746	36.752373	-237.73804	108.62602	65.82722	237.73804	0.31417355	-0.5217722	0.6987219	3.6752372	-0.8965444	16132.836	14757.05	56519.375	0.098705016	88.207	58.56003	213.1427	0.003037802
7	7999	69.43198013305664	234.23822	38.80323	284.31522	176.35104	120.0	345.94623	0.0	345.94623	345.94623	166.0	29.990364	10.340881	59.23927	-15.199959	6.1286407	-1.2457005	1.2438387	4.4760075	-10.361874	-33.2176	1.0	0.0	1.0	1.0	0.0	0.7843719	0.57249415	5.0470676	1.013279e-06	103.44244	42.20489	165.05537	2.6068113	175.73892	77.17473	289.99823	2.6068113	48.108547	4.8910704	56.485546	19.146795	-127.63039	76.12418	49.458336	-248.40341	130.98895	70.18762	248.40341	0.20744666	-0.527547	0.716693	4.9458337	-0.86869794	22084.408	17521.46	61704.254	0.043034118	102.205666	60.636738	244.61269	0.000820984
8	8999	90.90243530273438	285.39053	66.65192	339.3958	143.97939	129.0	317.993	0.0	317.993	317.993	143.0	43.50939	13.484568	76.78368	-20.548166	10.184203	-1.0306311	1.4232755	6.600022	-11.688562	-47.290257	1.0	0.0	1.0	1.0	0.0	0.80991673	0.5888351	4.881098	5.9604645e-08	116.15181	44.619366	166.07141	2.4244502	191.5719	80.91525	292.0018	2.4244502	61.72169	10.262449	74.50816	11.257385	-129.8502	74.84438	48.983414	-235.775	131.71562	71.510506	235.775	0.13185334	-0.5291851	0.4880795	4.8983417	-0.8123401	22462.76	16845.73	55589.848	0.017385302	94.38307	57.787903	239.9375	0.0005065667
9	9999	112.60968947410583	332.0582	12.037066	354.25058	317.72815	149.14285	310.90726	0.0	310.90726	310.90726	136.0	57.15251	16.444052	92.98388	-30.227745	14.662609	-0.88966024	1.536963	9.596665	-10.339173	-61.34508	1.0	0.0	1.0	1.0	0.0	0.83029824	0.6014454	4.6468925	3.2782555e-07	115.72658	47.747738	167.29608	2.3326213	186.86931	82.35461	285.10226	2.3326213	74.769035	18.595316	91.334305	-6.209548	-112.10028	69.9956	8.255977	-213.36462	112.244865	69.7635	213.36462	0.079175174	-0.5053548	0.22974537	0.5222324	-0.9102519	17465.855	14583.884	45524.465	0.0062687085	71.563416	51.883636	162.51363	0.0001357894
