Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.0744667053222656	22.293045	23.317293	132.62253	5.2394886	24.625	60.343445	0.0	60.343445	60.343445	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.188051	6.3635793	33.084404	-1.539556	10.452011	8.449356	43.3776	-0.73033625	-0.07873011	0.061836783	0.12130771	-0.31568396	-10.530743	8.427921	0.45234486	-43.38335	10.534611	8.423085	43.38335	0.00047008958	-0.6962108	0.35458863	0.045234486	-1.0209751	181.92638	265.48135	1882.1152	2.2098422e-07	9.682069	9.078535	43.389103	2.209842e-08
1	1999	3.82971453666687	20.814556	20.167421	124.153015	5.428253	23.5	60.343445	0.0	60.343445	60.343445	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7483964	7.310343	39.080383	-2.80025	10.984582	9.529416	48.683903	-0.9443768	-0.07283569	0.070968285	0.18557876	-0.31932127	-11.057419	9.514197	0.8060343	-48.715385	11.067854	9.502055	48.715385	0.020942304	-0.6950823	0.35201865	0.08060343	-1.0224708	212.78644	347.80576	2373.1887	0.00043858014	10.186824	10.158465	48.746887	4.3858014e-05
2	2999	5.568357944488525	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2427897	9.662742	58.478264	-4.99384	10.739811	12.036866	74.159966	-2.5599964	-0.08079672	0.06930073	0.1441488	-0.33619893	-10.820607	12.019961	2.455818	-74.18431	10.911698	11.93733	74.18431	0.020621672	-0.6480262	0.3856894	0.2455818	-1.0159966	261.565	698.61127	5503.312	0.00042525335	10.036023	12.463963	74.208664	4.2525335e-05
3	3999	7.308532476425171	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.590205	5.223795	26.146914	-3.7620256	8.85311	7.346385	36.12098	-1.673687	-0.079476684	0.06842813	0.14901629	-0.35946873	-8.932589	7.3281846	1.5050085	-36.09666	8.969133	7.2834086	36.09666	0.009350639	-0.6403938	0.37297744	0.15050085	-1.0200486	133.4934	191.4439	1302.9689	8.743444e-05	8.029056	7.928087	36.072357	8.743444e-06
4	4999	9.079231023788452	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312553	0.0	60.312553	60.312553	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.659572	6.1368732	31.83089	-0.9763317	9.697317	8.446302	43.746334	-0.7335528	-0.082781695	0.06699124	0.17120522	-0.35091975	-9.780099	8.42538	0.56479156	-43.82051	9.78199	8.423184	43.82051	0.013323701	-0.6620569	0.35625297	0.056479156	-1.0171323	166.63737	276.97147	1920.2373	0.000177521	8.820469	9.083006	43.894814	1.77521e-05
5	5999	24.513080596923828	58.415394	31.611006	149.52438	10.46469	41.666668	42.801266	0.0	42.801266	42.801266	25.0	3.5797584	2.2137868	16.43013	-1.5394627	0.30795035	-1.3645799	1.1970203	4.7801256	-8.2729	-4.1331005	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.82922906	0.6031242	5.268878	1.6510487e-05	30.142092	15.409549	64.5206	1.9726113	32.7131	16.6887	71.128395	1.9726113	10.981073	2.2536802	16.787722	6.5762444	-21.732029	18.060375	11.354461	-64.17447	23.39409	15.848493	64.17447	0.013042641	-0.46403313	0.48570326	1.1354461	-0.90223414	798.45825	864.7363	4118.362	0.00017011048	17.588558	14.243181	57.90039	1.3402163e-05
6	6999	40.84018611907959	72.902145	32.93179	191.02791	43.340755	40.52	102.27113	0.0	102.27113	102.27113	56.0	9.902617	4.1559615	27.934572	-3.120724	2.152352	-0.45271412	1.6934283	7.425729	-8.171896	-10.781055	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.933324	0.6228754	4.2846804	3.862381e-05	60.353306	29.46218	116.80907	2.1317623	67.29932	32.921124	129.99411	2.1317623	20.328136	2.7417367	32.043877	13.768066	-46.971176	34.196968	25.287725	-114.242546	49.5766	30.296621	114.242546	0.05867727	-0.47861883	0.6241045	2.5287726	-0.8891427	3375.724	3260.4915	13051.358	0.0034430223	38.5092	26.404295	101.57792	0.000164401
7	7999	57.56031250953674	156.52423	29.930588	180.34764	104.671074	78.166664	186.39458	0.0	186.39458	186.39458	85.0	17.456526	6.0595436	35.46473	-4.461651	4.849508	0.2637552	1.9413725	9.163849	-8.539246	-18.748255	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0356545	0.65185875	4.0814314	4.5359135e-05	84.27215	33.162827	121.520325	3.036182	85.10923	33.222828	123.92372	3.036182	30.769266	3.9255693	38.492966	22.06984	-54.339966	36.223938	31.54512	-100.73182	58.40174	29.227425	100.73182	0.12918998	-0.40667126	0.7408892	3.154512	-0.8202806	4265.006	3060.4204	10146.9	0.01669005	43.545624	24.537615	99.50946	0.00045501962
8	8999	74.38802409172058	179.57373	4.549488	187.56805	172.0342	85.416664	177.17944	0.0	177.17944	177.17944	86.0	25.842794	7.5013366	46.34044	-7.305821	9.217589	0.7519067	2.0648403	10.935508	-9.163514	-27.526426	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0946901	0.67349124	4.0763254	9.059906e-06	78.121635	31.493505	118.15956	2.619032	76.08201	30.428692	115.86468	2.619032	38.535393	2.927963	46.41114	30.27713	-37.546608	31.12909	33.471176	-83.58916	43.235367	22.571468	83.58916	0.19163571	-0.239227	0.7914132	3.3471174	-0.72508967	2378.768	1979.7742	6987.1475	0.036724247	28.731125	20.103645	112.03195	0.0008729697
9	9999	91.29660153388977	182.92012	5.3799314	189.06847	173.17387	84.75	196.38202	0.0	196.38202	196.38202	87.0	34.472492	8.876033	56.47435	-8.279921	13.730614	0.8367391	2.1677294	10.379621	-11.417896	-36.38215	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0823728	0.69297796	4.5596867	1.1250377e-05	87.4596	35.03861	126.3292	3.0253303	89.978546	36.630146	133.15872	3.0253303	47.590683	4.617188	56.824844	33.13736	-42.387863	36.377293	31.910124	-92.463196	48.514877	27.682936	92.463196	0.14450411	-0.21156047	0.7681127	3.1910124	-0.6987708	3120.0383	2618.9656	8549.442	0.02088144	31.023735	21.834461	101.8256	0.0004199788
10	10999	108.104483127594	202.72899	17.251274	237.4178	185.00862	89.36364	187.08499	0.0	187.08499	187.08499	85.0	43.056446	10.277835	73.56114	-16.776264	16.606571	0.6939949	2.252179	12.837139	-10.246394	-45.13765	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0483167	0.71026385	4.53895	7.5399876e-06	80.91662	32.142986	120.044754	2.7538357	81.04057	32.228107	122.05971	2.7538357	54.012295	6.686538	67.79965	26.207096	-27.02827	29.27893	28.659359	-71.89886	34.93005	19.174849	71.89886	0.03252635	-0.09505138	0.69035006	2.8659358	-0.59393287	1587.7831	1462.2638	5169.4453	0.0010579635	18.86726	14.809771	82.13588	1.6507634e-05
11	11999	124.90965342521667	198.38725	11.836776	218.71016	179.1054	89.27273	230.03151	0.0	230.03151	230.03151	98.0	51.471786	11.643054	83.42527	-23.390652	21.83137	0.8378669	2.4453464	13.586147	-10.375164	-53.831215	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0691892	0.7337995	4.3593965	6.4373016e-06	94.317024	38.006462	136.61809	3.1557708	98.21591	40.087048	145.92876	3.1557708	64.50089	7.9801598	78.264786	39.201645	-33.715023	36.299324	49.635136	-86.19961	42.34669	25.711897	86.19961	0.09072274	-0.0562254	0.8885235	4.9635134	-0.6009863	2454.3438	2167.4434	7430.372	0.008230615	26.01092	29.261793	246.36467	0.00012961226
12	12999	141.75532937049866	206.3605	13.952865	243.06772	189.61545	90.90909	240.90729	0.0	240.90729	240.90729	105.0	59.491577	13.442264	91.971756	-28.259943	25.304266	0.91063315	2.5260823	15.509825	-11.191002	-62.06327	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0805268	0.7604081	5.520752	1.1667609e-05	98.61693	38.726288	141.91779	3.0882297	105.271286	42.542637	156.53076	3.0882297	69.84096	8.239082	84.110565	31.659153	-35.430317	37.49916	66.22846	-89.32022	45.16435	24.933435	89.32022	0.20898943	-0.04172875	0.9805764	6.6228456	-0.5772897	2661.4946	2231.1802	7978.102	0.043676585	28.697447	41.03414	438.62088	0.00063720753
13	13999	158.6266086101532	234.08035	26.865889	282.0435	197.97275	98.6	224.35019	0.0	224.35019	224.35019	107.0	67.4199	15.578821	99.042946	-32.950565	30.927544	1.1468298	2.6113038	15.606859	-9.454812	-70.21697	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.1118774	0.79025996	5.724038	1.692772e-05	91.06469	37.206295	136.77472	2.738281	94.55071	38.74891	141.02165	2.738281	74.497215	14.794381	92.95614	18.841766	-20.053492	27.04116	40.811665	-66.057686	28.83072	17.382645	66.057686	0.06504129	0.00840744	0.68102545	4.0811667	-0.48642212	1133.3668	1095.6438	4363.618	0.004230369	13.362709	19.070646	166.5592	5.5798635e-05
14	14999	175.33029508590698	243.42192	15.485036	277.8258	224.12115	102.3	271.5448	0.0	271.5448	271.5448	118.0	75.69996	17.53041	108.22543	-30.674326	34.799587	1.2861857	2.6178808	14.235339	-10.301332	-78.739075	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.126362	0.80590564	5.490468	4.941225e-05	110.31745	43.813984	154.53348	2.9421713	116.74864	47.715443	168.91675	2.9421713	85.63156	18.711653	107.58023	7.0905786	-31.11709	34.031322	34.83416	-83.65308	39.583527	23.654772	83.65308	0.025155583	-0.09039791	0.47318912	2.4094808	-0.5030056	2126.404	1990.8688	6997.838	0.0006328034	16.181719	11.801341	58.055977	9.126581e-06
15	15999	192.22412991523743	259.19373	29.006563	322.40253	220.69151	107.888885	240.85156	0.0	240.85156	240.85156	100.0	82.869316	19.963264	117.37993	-41.488518	36.59441	1.1962285	2.6955237	14.653093	-10.561916	-85.804756	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0963746	0.80423355	5.745577	1.834333e-05	101.955124	40.44188	147.24164	3.1411953	105.33596	42.68786	157.47061	3.1411953	89.125786	23.638891	113.21506	-6.8344584	-16.21017	24.426554	27.005219	-61.828377	23.964005	16.886465	61.828377	0.0030168025	-0.017835792	0.39650348	2.2431264	-0.9975654	859.4262	913.21985	3822.748	9.101097e-06	7.735842	7.4537597	50.31616	8.483702e-08
16	16999	208.96093034744263	255.74077	18.114182	288.01193	227.02217	105.9	235.92183	0.0	235.92183	235.92183	99.0	89.66775	21.927898	128.95761	-43.283062	39.43656	1.2937305	2.673426	16.03782	-8.559996	-92.65883	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.1160818	0.79972833	5.1016855	7.8082085e-06	103.01124	40.277542	144.89642	3.2265515	105.01746	41.690083	152.43463	3.2265515	96.29119	23.451025	119.01979	4.535901	-8.726271	22.573631	36.47755	-46.776222	20.969883	12.082243	46.776222	0.046796344	0.07041917	0.4177448	2.483498	-0.31304637	585.7167	506.49054	2188.015	0.002189898	7.1833205	8.072393	61.677628	1.8965176e-05
17	17999	225.64078187942505	246.11736	27.82881	276.7213	176.78577	107.333336	182.67603	0.0	182.67603	182.67603	91.0	95.838684	23.90597	136.18298	-59.603416	43.876537	1.3856828	2.6901355	15.223038	-11.0718975	-99.003204	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.1307472	0.8048791	6.0067854	6.109476e-06	89.16403	34.398537	138.37387	2.9888418	88.36102	33.77528	138.9284	2.9888418	115.00022	11.243752	145.82246	70.487946	26.6392	38.345493	135.28224	-27.177473	30.581123	35.28199	135.28224	0.04978048	1.0082363	2.4550257	13.528224	-0.20171936	2180.024	4135.5146	18301.285	0.0024780962	103.427666	302.86075	1830.1284	2.035817e-05
