Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	5.644019365310669	-27.338823	26.886124	-3.8178897	-71.83286	80.25	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.88142	39.497974	10.876185	-144.65662	-41.546932	34.106655	14.549747	-132.77438	0.16892701	0.36100048	1.7720551	-0.9403382	41.715866	34.100967	133.6289	-14.750885	42.588898	33.004166	133.6289	0.09586048	0.8345516	0.43374628	1.0923079	-1.0337925	2903.0894	3526.1853	17856.686	0.009189231	42.423016	33.391422	134.50917	0.0009189232
1	1999	12.088768243789673	-65.52234	107.431885	12.008381	-310.5375	207.625	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-74.10312	37.856396	6.841149	-130.53026	-63.10496	35.123966	9.913611	-126.59293	0.1277751	0.31974703	1.3421358	-0.8868837	63.232735	35.115894	126.78928	-9.826115	63.509743	34.61239	126.78928	0.02060565	0.88295025	0.32863083	1.0823134	-0.9826115	5231.5044	4089.1372	16075.523	0.0004245928	63.365623	35.078487	126.98595	4.2459284e-05
2	2999	18.02099895477295	-390.4896	0.0	-390.4896	-390.4896	1000.0	937.44196	0.0	937.44196	937.44196	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-49.486233	35.78517	10.135478	-105.6277	-43.640213	31.432997	10.910221	-99.169044	0.15741616	0.34010538	1.5356193	-1.0214739	43.79763	31.426928	99.17824	-10.780376	44.23855	30.80317	99.17824	0.109312676	0.866193	0.36675897	1.1247228	-0.99193436	2905.8843	2966.0933	9836.322	0.011949261	44.07959	31.217466	99.4782	0.0011949261
3	3999	23.56920862197876	-54.080395	35.98013	-26.114645	-104.87756	88.0	928.5981	0.0	928.5981	928.5981	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-58.26096	39.466812	0.8667238	-128.9721	-51.43336	36.514053	2.0600832	-123.50539	0.12896642	0.32660708	1.7118573	-0.73731506	51.562325	36.51295	123.516655	-2.3900483	51.57393	36.496563	123.516655	0.07014287	0.9309929	0.2116386	1.1166828	-0.23900482	3991.8691	3937.5525	15256.364	0.004920022	51.449516	36.829918	123.52792	0.00049200223
4	4999	31.71833086013794	-160.96135	144.78775	-16.173592	-305.7491	513.0	932.88116	0.0	932.88116	932.88116	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-79.00858	29.581484	1.4513868	-133.0245	-69.150856	26.810404	3.8145888	-134.13548	0.14349574	0.34418097	1.5003397	-0.8106793	69.29436	26.810528	134.70662	-3.7957468	69.3508	26.664196	134.70662	0.018758573	0.9561292	0.19901289	1.0955307	-0.3795747	5520.5117	2883.3826	18145.875	0.00035188402	69.38372	26.945492	135.84001	3.5188405e-05
5	5999	60.740445375442505	-92.83588	114.65569	-9.337645	-346.25122	214.375	929.0102	0.0	929.0102	929.0102	1000.0	1.7252874	1.3590492	11.205173	-6.336091	0.55942714	-5.1522064	0.9181304	12.419953	-13.139604	-2.8072672	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.7177532	0.5540821	10.176947	3.002584e-06	-38.170788	18.943935	5.53485	-85.62305	41.48101	26.688465	82.98356	-41.64006	2.837322	2.0928738	8.830856	-4.6895046	-38.643684	26.076334	43.618153	-81.62155	42.542	19.06535	81.62155	0.11727815	-0.7071572	0.55228835	1.2627871	-1.0479162	2173.3098	1372.1747	6662.0776	0.013754164	39.99288	18.815502	80.88822	0.0013754164
6	6999	89.78451561927795	-51.635147	36.194153	-8.224197	-131.2562	92.25	583.5157	0.0	583.5157	583.5157	1000.0	4.2766213	2.464703	18.728062	-11.207888	1.4442258	-5.0132775	0.99436265	0.6892942	-11.736589	-5.434711	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.71102685	0.53943837	4.649037	2.9802322e-08	-31.140516	15.591633	12.019541	-65.92308	43.222546	26.170568	78.91913	-13.173891	5.5627284	2.7757542	15.028893	-4.8339386	-37.659813	25.469593	19.223463	-75.01426	40.318497	21.009062	75.01426	0.015223737	-0.5785052	0.6417224	1.5435247	-1.0933073	2066.9617	1431.8176	5627.139	0.00023176217	36.14913	19.631203	75.98636	2.3176217e-05
7	7999	117.74506187438965	-211.94843	0.0	-211.94843	-211.94843	338.0	233.43526	0.0	233.43526	233.43526	1000.0	6.548728	3.320454	22.84378	-15.361511	2.1222482	-4.7477183	1.2049772	2.0741768	-11.536449	-7.7630596	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.70195436	0.5309031	4.351666	7.972121e-07	-27.04942	17.003107	11.193388	-64.67908	32.754913	24.360394	75.339645	-19.799072	7.230061	3.8856702	19.433933	-9.33876	-25.52485	23.583178	26.305763	-71.740295	28.020206	20.556078	71.740295	0.021016782	-0.50759864	0.5839683	1.7290218	-1.478678	1207.6843	1308.4047	5146.67	0.00044170517	23.655651	18.891104	69.65652	4.4170516e-05
8	8999	146.74343824386597	-86.01373	132.4107	-5.566185	-377.95172	235.33333	377.31516	0.0	377.31516	377.31516	1000.0	8.688834	3.684304	25.39677	-15.465156	2.3702369	-4.488791	1.3594708	2.3483229	-12.989351	-9.960015	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.68685865	0.519012	4.2938266	2.861023e-06	-24.85356	12.298004	11.22851	-63.518974	47.745846	22.739372	79.41942	-5.8517976	10.476018	3.5047908	21.267998	-3.321813	-37.26983	22.395319	17.605848	-70.71533	38.471153	20.2623	70.71533	0.0050288276	-0.626648	0.46101022	1.7605848	-1.1622483	1890.5903	1374.7378	5000.658	2.5289108e-05	31.468857	17.99478	66.93291	2.2113545e-06
9	9999	174.7475345134735	-110.6239	142.41302	5.8496156	-311.15488	404.66666	621.55566	0.0	621.55566	621.55566	1000.0	10.658957	3.9473193	28.170353	-15.761699	2.3373222	-4.293112	1.4409776	4.5090475	-12.236413	-11.973125	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.670975	0.5073209	4.2850313	2.9057264e-06	-19.939156	15.2807665	19.008448	-48.4605	35.135593	22.884161	74.79379	-11.138167	11.951407	3.8814065	22.209082	-1.2882373	-23.184189	22.508036	21.317104	-64.36794	27.13942	17.537674	64.36794	0.010285912	-0.31766307	0.7108174	2.1317105	-0.9845773	1044.1182	1006.9302	4143.232	0.00010579998	21.395105	14.807703	62.088814	6.389484e-06
