Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.9758360385894775	17.805092	18.830421	116.31808	4.1791897	20.244898	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3388443	6.663066	38.634113	-2.8871653	8.524761	8.170532	48.535164	-0.8958133	0.020464633	0.20484304	0.9898787	-0.5116168	-8.504295	8.129584	0.68858093	-48.50791	8.511566	8.121972	48.50791	0.0001473061	-0.607416	0.35575724	0.068858095	-1.0265052	138.41318	289.02176	2353.0176	2.1699085e-08	7.3743587	8.663238	48.48068	2.1699085e-09
1	1999	3.7429468631744385	17.651352	18.217997	116.31808	4.1791897	20.0	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.910364	12.674937	58.21284	-1.4719443	13.388344	15.978729	72.98529	-1.0055993	-0.0027694388	0.19679053	0.85960317	-0.5937648	-13.391112	15.91608	0.96887517	-73.018166	13.399716	15.908839	73.018166	0.011786406	-0.65481865	0.3610136	0.096887514	-1.0313661	432.6436	972.3306	5331.653	0.00013891936	12.419249	16.418154	73.05106	1.3891937e-05
2	2999	5.511287212371826	14.312927	9.851372	60.09726	4.4340734	19.211538	14.179233	0.0	14.179233	14.179233	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.691361	8.872643	40.37658	-1.1600287	11.582885	11.304089	49.237614	-1.5618551	0.014014489	0.17808674	0.79372823	-0.41851902	-11.5688715	11.278028	1.5101098	-49.24788	11.582451	11.26408	49.24788	0.0036997846	-0.6611725	0.35885492	0.15101099	-1.0241808	261.03268	457.85092	2425.3538	1.3688407e-05	10.607238	11.868051	49.258152	1.3688407e-06
3	3999	7.2885215282440186	17.543024	11.5968685	55.88636	4.821474	21.73913	15.235069	0.0	15.235069	15.235069	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3728356	8.29555	55.499645	-1.2615305	8.599229	10.423447	70.26553	-0.5839567	-0.010715322	0.16777639	0.7403084	-0.49515897	-8.609944	10.398187	0.6560875	-70.31199	8.614313	10.3945675	70.31199	0.010666548	-0.5961552	0.35239238	0.065608755	-1.0212151	182.25343	602.69275	4943.776	0.00011377525	7.44176	10.860306	70.35848	1.1377525e-05
4	4999	9.072114706039429	19.482939	22.068974	140.57355	5.64561	23.452381	15.456269	0.0	15.456269	15.456269	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9369516	5.2687497	25.899164	-2.2096133	8.194176	6.466375	29.774874	-1.6860344	0.0023351125	0.19026738	0.76826936	-0.43108243	-8.191839	6.444244	1.6666322	-29.73505	8.211809	6.4187775	29.73505	0.0014658107	-0.6264307	0.36108923	0.16666321	-1.0418873	108.63452	149.25114	884.1732	2.1486012e-06	7.15065	7.0350895	29.69528	2.1486011e-07
5	5999	10.898648738861084	18.061138	11.422929	61.874153	7.7864933	21.25	15.306822	0.0	15.306822	15.306822	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3179374	7.2848473	38.367153	-2.1268413	9.543689	8.891612	45.5879	-1.2781138	0.011152503	0.21067409	1.0030961	-0.4634936	-9.532536	8.8478775	0.905444	-45.59446	9.542533	8.837095	45.59446	0.040871814	-0.6368914	0.3547031	0.0905444	-1.0166098	169.15416	309.47675	2078.8547	0.001670505	8.467241	9.429051	45.601025	0.0001670505
6	6999	12.709643840789795	17.344748	9.848085	50.04599	6.2076354	21.25532	14.194336	0.0	14.194336	14.194336	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.59156	10.820009	58.178406	-1.3795614	11.463493	13.085823	73.42211	-0.70340496	0.00947684	0.18301678	0.81783545	-0.48152894	-11.454016	13.053935	0.7273197	-73.417076	11.46044	13.048297	73.417076	0.016543256	-0.65248495	0.35591388	0.07273197	-1.0270256	301.59973	753.51575	5390.067	0.00027367932	10.444427	13.568653	73.41203	2.7367932e-05
7	7999	14.514805316925049	17.62367	10.6304035	61.385	6.1721864	20.957447	14.050414	0.0	14.050414	14.050414	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.09337	8.127684	51.52857	-1.4669567	9.547571	9.630308	62.264202	-1.1834044	0.0029575946	0.19796732	0.9707828	-0.77519286	-9.544613	9.561259	1.1257743	-62.306454	9.560298	9.545576	62.306454	0.0027764498	-0.6362548	0.36256045	0.11257742	-1.0191332	182.51729	436.85846	3882.0942	7.7086725e-06	8.531061	10.04755	62.348732	7.708673e-07
8	8999	16.335125207901	19.202862	30.295835	213.16605	7.145059	22.90909	14.334498	0.0	14.334498	14.334498	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6459355	6.8280816	36.418377	-2.8389313	9.050816	8.473079	45.4265	-1.3976288	0.008506609	0.17930447	0.892629	-0.38409323	-9.04231	8.442086	1.3028426	-45.44569	9.0652075	8.417492	45.44569	0.0135295065	-0.6268712	0.3630838	0.13028426	-1.0342401	153.03217	294.57773	2065.3108	0.00018304754	8.014751	8.979599	45.46489	1.8304754e-05
9	9999	18.131671667099	16.78222	10.260874	44.341496	6.453612	21.934782	14.100218	0.0	14.100218	14.100218	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.998247	6.5563884	33.687523	-1.0765996	9.431444	8.370572	42.928585	-0.59289616	0.01923049	0.17714885	0.78096616	-0.41211116	-9.412213	8.35006	0.44913283	-42.978245	9.415618	8.346219	42.978245	0.0047438093	-0.6442323	0.35592303	0.04491328	-1.0307561	158.31326	274.67966	1847.1296	2.2503727e-05	8.381161	8.945689	43.02796	2.2503727e-06
