Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	5.430078029632568	-27.338823	26.886124	-3.8178897	-71.83286	80.25	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.88142	39.497974	10.876185	-144.65662	-41.546932	34.106655	14.549747	-132.77438	0.16892701	0.36100048	1.7720551	-0.9403382	41.715866	34.100967	133.6289	-14.750885	42.588898	33.004166	133.6289	0.09586048	0.8345516	0.43374628	1.0923079	-1.0337925	2903.0894	3526.1853	17856.686	0.009189231	42.423016	33.391422	134.50917	0.0009189232
1	1999	11.869356155395508	-65.52234	107.431885	12.008381	-310.5375	207.625	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-74.10312	37.856396	6.841149	-130.53026	-63.10496	35.123966	9.913611	-126.59293	0.1277751	0.31974703	1.3421358	-0.8868837	63.232735	35.115894	126.78928	-9.826115	63.509743	34.61239	126.78928	0.02060565	0.88295025	0.32863083	1.0823134	-0.9826115	5231.5044	4089.1372	16075.523	0.0004245928	63.365623	35.078487	126.98595	4.2459284e-05
2	2999	17.728347301483154	-390.4896	0.0	-390.4896	-390.4896	1000.0	937.44196	0.0	937.44196	937.44196	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-49.486233	35.78517	10.135478	-105.6277	-43.640213	31.432997	10.910221	-99.169044	0.15741616	0.34010538	1.5356193	-1.0214739	43.79763	31.426928	99.17824	-10.780376	44.23855	30.80317	99.17824	0.109312676	0.866193	0.36675897	1.1247228	-0.99193436	2905.8843	2966.0933	9836.322	0.011949261	44.07959	31.217466	99.4782	0.0011949261
3	3999	23.23017454147339	-54.080395	35.98013	-26.114645	-104.87756	88.0	928.5981	0.0	928.5981	928.5981	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-58.26096	39.466812	0.8667238	-128.9721	-51.43336	36.514053	2.0600832	-123.50539	0.12896642	0.32660708	1.7118573	-0.73731506	51.562325	36.51295	123.516655	-2.3900483	51.57393	36.496563	123.516655	0.07014287	0.9309929	0.2116386	1.1166828	-0.23900482	3991.8691	3937.5525	15256.364	0.004920022	51.449516	36.829918	123.52792	0.00049200223
4	4999	31.320374727249146	-160.96135	144.78775	-16.173592	-305.7491	513.0	932.88116	0.0	932.88116	932.88116	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-79.00858	29.581484	1.4513868	-133.0245	-69.150856	26.810404	3.8145888	-134.13548	0.14349574	0.34418097	1.5003397	-0.8106793	69.29436	26.810528	134.70662	-3.7957468	69.3508	26.664196	134.70662	0.018758573	0.9561292	0.19901289	1.0955307	-0.3795747	5520.5117	2883.3826	18145.875	0.00035188402	69.38372	26.945492	135.84001	3.5188405e-05
5	5999	71.74221324920654	-79.21182	104.45601	-7.197467	-347.20816	214.375	900.6183	0.0	900.6183	900.6183	1000.0	1.8035352	1.4216527	12.027068	-5.949044	0.5052771	-5.173384	0.88762134	28.254957	-11.577904	-2.8980603	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.7116884	0.5470676	19.785881	7.301569e-07	-25.046066	16.209158	15.885279	-57.816006	41.015194	23.611097	72.240685	-8.876587	3.3412876	2.1051345	11.353584	-4.424318	-37.673904	23.588858	13.249731	-70.437035	38.700726	21.86347	70.437035	0.037656356	-0.7254952	0.46394175	1.3249731	-1.1164848	1975.7572	1544.2396	4961.3755	0.0014180011	35.935505	21.540258	70.48784	0.00014180012
6	6999	112.11622953414917	-30.505638	0.0	-30.505638	-30.505638	168.0	399.177	0.0	399.177	399.177	1000.0	4.579238	2.512056	18.631157	-9.352505	1.1250669	-4.839454	1.1179885	2.792112	-12.543788	-5.7874904	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6891305	0.52207816	4.595745	2.9802322e-08	-19.80964	16.031225	16.030369	-56.309437	37.965134	22.115904	89.42114	-2.9558377	6.4778	3.1753697	18.203056	-5.2021856	-31.487337	22.069584	11.641137	-85.47527	32.29214	20.8743	85.47527	0.027774537	-0.6546187	0.41079852	1.1641138	-1.107097	1478.5188	1444.7439	7306.022	0.0007714249	27.712732	19.932396	82.62795	5.3494736e-05
7	7999	155.05355095863342	-75.43243	128.52054	2.5646772	-331.88913	291.6	492.73007	0.0	492.73007	492.73007	1000.0	7.288989	3.1421597	24.129883	-10.765903	1.3995826	-4.36816	1.3846467	4.9335246	-14.966898	-8.599593	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6576799	0.4985275	4.778776	4.4703484e-07	-18.426249	13.149989	32.504013	-36.8201	64.504326	19.855036	123.13376	-1.042591	9.053969	2.7522688	21.745134	-3.2292047	-55.450356	19.465176	6.894852	-112.642494	55.604935	19.019112	112.642494	0.09150347	-0.8189634	0.20488419	0.6894852	-1.0534924	3453.6353	2188.6143	12688.331	0.008372885	48.15324	18.10687	109.27867	0.00083728856
8	8999	196.25510478019714	-105.248535	97.29811	-7.9504204	-202.54665	559.0	673.92365	0.0	673.92365	673.92365	1000.0	9.844654	3.3957276	27.68501	-10.696661	1.4885567	-4.047534	1.5013036	4.50447	-14.07146	-11.219293	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6347222	0.4823218	4.42373	8.34465e-07	-19.298956	9.446782	1.9920218	-41.73381	45.439224	20.877377	79.40309	-3.6638386	11.505904	2.8741608	21.322094	0.4110406	-33.933323	20.860004	17.117033	-68.584	34.776085	19.422512	68.584	0.07008573	-0.6274558	0.38201064	1.7117032	-0.988623	1586.61	1448.7472	4703.765	0.0049120095	27.169582	17.750835	60.86546	0.00049120095
9	9999	238.42761969566345	-92.48412	40.48176	-52.002365	-132.96588	586.0	625.7808	0.0	625.7808	625.7808	1000.0	12.212657	3.4908187	30.890274	-12.088282	1.5238477	-3.8552032	1.5797656	6.6958475	-15.195782	-13.611296	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.62555575	0.47720003	4.1262674	5.9604645e-08	-23.558578	12.500472	5.679878	-55.74417	38.979607	18.98857	74.83112	-10.038149	12.987605	3.2886968	28.180328	1.7742556	-25.991997	18.396618	23.14943	-63.391243	27.841352	15.455701	63.391243	0.18256684	-0.50520504	0.5192518	2.3061452	-0.9594778	1014.0196	981.57587	4018.4497	0.03333065	20.439575	13.273734	55.45128	0.0011751498
