Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	7.605416536331177	-27.338823	26.886124	-3.8178897	-71.83286	80.25	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.78119	1.680443	97.334305	79.97169	235.15024	2.0033424	237.63351	218.2206	0.03795686	0.09046124	1.1490499	-0.28278172	-235.11227	2.0447252	-217.98961	-237.71194	235.11227	2.0447252	237.71194	217.98961	-0.9998371	0.00040418562	-0.99483746	-1.0012503	55281.965	939.0855	56506.97	47519.473	235.07436	2.088975	237.7904	217.0199
1	1999	15.241288423538208	-65.52234	107.431885	12.008381	-310.5375	207.625	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.78119	1.680443	97.334305	79.97169	235.15024	2.0033424	237.63351	218.2206	0.03795686	0.09046124	1.1490499	-0.28278172	-235.11227	2.0447252	-217.98961	-237.71194	235.11227	2.0447252	237.71194	217.98961	-0.9998371	0.00040418562	-0.99483746	-1.0012503	55281.965	939.0855	56506.97	47519.473	235.07436	2.088975	237.7904	217.0199
2	2999	22.941163778305054	-390.4896	0.0	-390.4896	-390.4896	1000.0	937.44196	0.0	937.44196	937.44196	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.21631	0.7147527	98.897255	88.56642	235.72015	1.0841926	240.73721	226.778	0.03688911	0.08310093	1.1754246	-0.3147631	-235.68327	1.1002399	-226.6893	-240.7532	235.68327	1.1002399	240.7532	226.6893	-0.9998432	0.0003580435	-0.9949779	-1.0013278	55547.81	516.82935	57962.11	51388.043	235.6464	1.1220844	240.7905	225.91664
3	3999	30.939719438552856	-54.080395	35.98013	-26.114645	-104.87756	88.0	928.5981	0.0	928.5981	928.5981	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.12007	0.7070346	97.4431	85.22245	235.2417	1.4390682	238.6234	222.44083	0.03155573	0.0897325	1.2256	-0.38908792	-235.21014	1.4524295	-222.04701	-238.57506	235.21014	1.4524295	238.57506	222.04701	-0.9998656	0.00039028164	-0.9947307	-1.001694	55325.92	678.1761	56918.06	49304.875	235.17863	1.4709817	238.55537	221.13174
4	4999	38.94765281677246	-160.96135	144.78775	-16.173592	-305.7491	513.0	932.88116	0.0	932.88116	932.88116	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.957634	1.0554878	97.44529	81.991	236.13171	1.289978	239.09705	222.02522	0.05097265	0.0844486	1.1234409	-0.16422994	-236.08075	1.3299452	-221.69316	-239.02359	236.08075	1.3299452	239.02359	221.69316	-0.99978316	0.00036835924	-0.9951577	-1.0007173	55735.883	616.7102	57132.277	49147.86	236.02982	1.3737471	238.95015	220.881
5	5999	81.38201975822449	-79.21182	104.45601	-7.197467	-347.20816	214.375	900.6183	0.0	900.6183	900.6183	1000.0	1.8035352	1.4216527	12.027068	-5.949044	0.5052771	-5.173384	0.88762134	28.254957	-11.577904	-2.8980603	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.7116884	0.5470676	19.785881	7.301569e-07	89.596016	0.4167557	93.51782	89.41724	200.08789	0.41171646	203.88431	199.70912	4.2326264	0.27386248	7.632049	2.5293221	-195.85527	0.37992996	-194.9174	-200.35168	195.85527	0.37992996	200.35168	194.9174	-0.97884744	0.0013358422	-0.9623526	-0.987533	38359.43	149.8639	40140.797	37992.797	191.71252	0.5098871	197.8539	187.74751
6	6999	123.83992528915405	-30.505638	0.0	-30.505638	-30.505638	168.0	399.177	0.0	399.177	399.177	1000.0	4.579238	2.512056	18.631157	-9.352505	1.1250669	-4.839454	1.1179885	2.792112	-12.543788	-5.7874904	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6891305	0.52207816	4.595745	2.9802322e-08	38.26922	0.62663656	41.516552	37.517662	77.230034	0.75973815	82.37293	76.37489	7.7190394	0.3028774	11.645354	6.009571	-69.510994	0.7858136	-65.65583	-74.38622	69.510994	0.7858136	74.38622	65.65583	-0.9000461	0.0038968383	-0.84935087	-0.9238775	4832.3965	109.84242	5533.3105	4310.688	62.56465	0.8746252	68.59224	55.76484
7	7999	166.381019115448	-75.43243	128.52054	2.5646772	-331.88913	291.6	492.73007	0.0	492.73007	492.73007	1000.0	7.288989	3.1421597	24.129883	-10.765903	1.3995826	-4.36816	1.3846467	4.9335246	-14.966898	-8.599593	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6576799	0.4985275	4.778776	4.4703484e-07	47.73259	0.92941225	49.300617	46.827763	56.0115	0.9108273	59.20022	55.104866	10.149075	0.2579727	13.393255	8.087036	-45.862434	0.81324005	-42.38225	-49.142967	45.862434	0.81324005	49.142967	42.38225	-0.8187933	0.004013998	-0.7598721	-0.8586618	2104.024	74.98624	2415.0312	1796.2552	37.553238	0.761922	42.191635	32.20509
8	8999	208.8578953742981	-105.248535	97.29811	-7.9504204	-202.54665	559.0	673.92365	0.0	673.92365	673.92365	1000.0	9.844654	3.3957276	27.68501	-10.696661	1.4885567	-4.047534	1.5013036	4.50447	-14.07146	-11.219293	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6347222	0.4823218	4.42373	8.34465e-07	68.33576	3.2138784	73.03094	65.82606	71.069855	5.8452644	79.662	66.73343	12.261493	0.4763475	16.890013	7.967602	-58.808357	5.5912204	-53.138477	-68.858475	58.808357	5.5912204	68.858475	53.138477	-0.8266568	0.011270979	-0.7651912	-0.8962904	3489.6843	679.32043	4741.4897	2823.6978	48.671757	5.273791	61.71719	41.799843
9	9999	251.4205605983734	-92.48412	40.48176	-52.002365	-132.96588	586.0	625.7808	0.0	625.7808	625.7808	1000.0	12.212657	3.4908187	30.890274	-12.088282	1.5238477	-3.8552032	1.5797656	6.6958475	-15.195782	-13.611296	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.62555575	0.47720003	4.1262674	5.9604645e-08	64.694244	1.8572911	67.2444	59.636204	55.911552	2.9415689	61.771183	50.448307	15.320813	0.94673866	20.400734	11.6424465	-40.59074	3.2603936	-33.481827	-48.68786	40.59074	3.2603936	48.68786	33.481827	-0.7250085	0.024648225	-0.642558	-0.7999731	1658.2383	259.06113	2370.5078	1121.0327	29.501543	3.275709	38.94898	21.514015
