Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.1681816577911377	17.805092	18.830421	116.31808	4.1791897	20.244898	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.974907	4.064147	14.403749	0.6437454	10.485715	6.3653436	21.885067	0.6437454	-0.00880318	0.03109508	0.03758646	-0.06887367	-10.494517	6.3360043	-0.7029281	-21.862223	10.494517	6.3360043	21.862223	0.7029281	-0.74792236	0.32531726	-0.070292816	-1.0017115	150.27986	140.43068	477.95676	0.49410796	9.663411	7.088799	21.839401	0.049410798
1	1999	3.8697526454925537	17.651352	18.217997	116.31808	4.1791897	20.0	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.974907	4.064147	14.403749	0.6437454	10.485715	6.3653436	21.885067	0.6437454	-0.00880318	0.03109508	0.03758646	-0.06887367	-10.494517	6.3360043	-0.7029281	-21.862223	10.494517	6.3360043	21.862223	0.7029281	-0.74792236	0.32531726	-0.070292816	-1.0017115	150.27986	140.43068	477.95676	0.49410796	9.663411	7.088799	21.839401	0.049410798
2	2999	5.504512310028076	14.312927	9.851372	60.09726	4.4340734	19.211538	14.179233	0.0	14.179233	14.179233	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9470577	4.040974	14.339818	0.64118505	10.457353	6.3329883	21.836855	0.64118505	-0.009278883	0.031430565	0.037994236	-0.07658322	-10.466632	6.3033857	-0.7039944	-21.813889	10.466632	6.3033857	21.813889	0.7039944	-0.7480197	0.32506534	-0.07039944	-1.0017371	149.28307	139.18515	475.84576	0.49560815	9.634433	7.056504	21.790947	0.049560815
3	3999	7.128084897994995	17.543024	11.5968685	55.88636	4.821474	21.73913	15.235069	0.0	15.235069	15.235069	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9907284	4.0742702	14.347498	0.6438574	10.5046835	6.3790693	21.848635	0.6438574	-0.008336338	0.030910252	0.038023964	-0.067019954	-10.51302	6.349967	-0.6893751	-21.825521	10.51302	6.349967	21.825521	0.6893751	-0.748217	0.32530516	-0.06893751	-1.0018207	150.84564	141.01385	476.35342	0.475238	9.683235	7.102428	21.802433	0.0475238
4	4999	9.213173389434814	19.482939	22.068974	140.57355	5.64561	23.452381	15.456269	0.0	15.456269	15.456269	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.957812	4.052953	14.382608	0.6414656	10.46614	6.3488164	21.87479	0.6414656	-0.009042506	0.03055043	0.037507124	-0.06707263	-10.4751835	6.3200994	-0.69403917	-21.852123	10.4751835	6.3200994	21.852123	0.69403917	-0.747688	0.3253656	-0.06940392	-1.0016485	149.6731	139.77393	477.5153	0.48169032	9.643376	7.0732145	21.82948	0.04816903
5	5999	35.93448615074158	50.060715	24.019688	91.335106	9.60331	33.766666	54.085957	0.0	54.085957	54.085957	31.0	3.3902142	2.2745285	14.713927	-2.0322547	0.22585866	-1.3703917	1.1434511	4.7217927	-9.322065	-3.963665	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.8012795	0.58228093	4.721035	5.662441e-07	27.436264	13.392046	45.94424	1.9719093	30.984339	14.795777	51.311356	1.9719093	10.573062	1.6779674	13.453966	7.178834	-20.411276	15.712929	9.153005	-44.11668	21.858341	13.628254	44.11668	0.22275104	-0.47605076	0.4534307	0.9153004	-0.85978395	663.51636	613.1929	1946.2815	0.049618024	16.032808	12.033691	37.930813	0.0044311876
6	6999	63.643221616744995	107.3393	21.076595	131.97723	71.93926	59.5	143.73436	0.0	143.73436	143.73436	79.0	9.857344	4.5860085	25.690435	-3.7933128	1.1215848	-0.30225688	1.7153758	7.071535	-11.799157	-10.89748	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.92187226	0.6187658	4.1801796	1.1920929e-07	58.950798	28.77971	101.28501	2.0439131	65.02397	31.593548	110.532646	2.0439131	19.84605	2.3044043	23.796383	15.065968	-45.17792	30.22761	18.454464	-94.81625	46.848583	27.567438	94.81625	0.028851226	-0.5185567	0.50088286	1.8454465	-0.8614133	2954.7532	2630.9473	8990.121	0.0008323933	34.82423	23.032831	81.67598	4.7495294e-05
7	7999	91.23734927177429	152.45256	14.066523	177.93248	136.4246	81.833336	173.22424	0.0	173.22424	173.22424	86.0	18.015993	6.7049007	38.551826	-7.745071	2.849022	0.32171947	2.0316553	10.259189	-11.619434	-19.626457	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0146434	0.6683427	4.702323	3.1590462e-06	74.59181	32.55161	112.520485	2.5322533	78.3932	35.409412	122.42522	2.5322533	30.898882	2.1515872	34.185425	23.885262	-47.49432	36.334538	28.844826	-97.70862	51.773064	29.924215	97.70862	0.5986654	-0.34197453	0.7524411	2.8844826	-0.8027541	3575.9087	3003.0725	9546.974	0.3584003	37.725147	24.202372	83.20239	0.011478584
8	8999	118.81992983818054	267.59915	54.444847	337.00937	178.62645	118.333336	311.35013	0.0	311.35013	311.35013	135.0	27.439386	8.591393	55.637337	-12.820265	5.445603	0.5613998	2.173069	11.632055	-12.153423	-29.556585	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0477909	0.69985294	5.0178204	5.9604645e-07	116.11387	46.970444	161.61859	2.6308222	117.91253	49.769455	170.69904	2.6308222	43.751278	4.405754	49.173317	24.051323	-74.16124	50.65171	26.343899	-132.94176	78.7516	43.17026	132.94176	0.10170861	-0.4000812	0.6510367	2.2618203	-0.7993142	8065.4863	6300.1855	17673.51	0.010344642	56.016273	33.85247	106.23357	0.00021121923
9	9999	146.55533862113953	319.9339	13.174607	338.83804	292.33493	136.85715	329.17847	0.0	329.17847	329.17847	137.0	37.597027	10.590491	68.46818	-17.494152	8.032894	0.70833546	2.245015	13.688717	-12.864643	-40.05839	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0476955	0.72058433	5.8981476	2.026558e-06	122.63959	48.908016	167.55919	2.8569584	119.60405	50.038982	170.69211	2.8569584	52.676167	10.627972	61.679012	6.84378	-66.92788	46.040737	19.382181	-121.78608	68.99812	42.875984	121.78608	0.15928672	-0.42342407	0.33944532	0.7479365	-0.73473066	6599.091	5507.8384	14831.85	0.025372261	42.78199	31.720268	89.45826	0.00044557106
