Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.1897177696228027	-380.24023	0.0	-380.24023	-380.24023	1000.0	-67.33368	0.0	-67.33368	-67.33368	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.68086	28.462006	5.95637	-114.47699	-36.76918	28.22638	6.1561937	-120.12727	0.15451676	0.3621849	1.6584783	-0.993122	36.923695	28.237663	120.543274	-6.2533727	37.042385	28.081785	120.543274	0.087873496	0.9068436	0.26915088	1.079164	-0.62533724	2160.725	3011.9216	14530.682	0.0077217515	36.895657	28.457043	121.03369	0.00077217515
1	1999	6.318793535232544	-358.08673	0.0	-358.08673	-358.08673	1000.0	-163.50226	0.0	-163.50226	-163.50226	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.498318	36.843563	5.607644	-152.79222	-51.620514	37.157627	6.440606	-153.9672	0.14449142	0.3667568	1.3366516	-0.9895288	51.765003	37.15545	154.80838	-6.2949967	51.88215	36.991695	154.80838	0.035632268	0.9140734	0.26780298	1.0820847	-0.6294997	4060.1433	5075.025	23965.633	0.0012696586	51.79233	37.301178	155.65414	0.00012696587
2	2999	9.422212600708008	-14.571307	35.704567	23.749765	-108.24556	90.2	-179.3789	0.0	-179.3789	-179.3789	193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-35.633274	32.086327	3.5721514	-127.77392	-40.507008	34.467175	5.5434237	-142.76468	0.14927968	0.36722946	1.5495739	-1.0186616	40.65629	34.462666	142.89175	-5.404746	40.775234	34.32185	142.89175	0.027653879	0.904794	0.27483585	1.1288677	-0.5404746	2840.6091	4522.5625	20418.05	0.00076473696	40.63388	34.632484	143.08926	7.64737e-05
3	3999	16.076750993728638	-21.863068	37.32198	4.467001	-85.877014	84.0	-1030.314	0.0	-1030.314	-1030.314	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-72.694756	34.663773	1.345828	-108.09428	-65.42556	32.70181	3.683356	-113.533394	0.15057214	0.34529504	1.4051591	-1.2200122	65.57613	32.703938	113.63153	-3.4140298	65.66785	32.519394	113.63153	0.022838436	0.9276172	0.25493523	1.0887835	-0.34140298	5369.777	3585.0195	12912.124	0.00052159413	65.66865	32.818024	113.729744	5.2159416e-05
4	4999	20.226175546646118	-114.89539	140.84811	-5.842436	-354.56287	296.75	-125.67728	0.0	-125.67728	-125.67728	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-59.856304	39.042187	2.4967601	-117.606094	-58.630363	40.896008	4.803514	-133.552	0.14548942	0.36582378	1.3268687	-1.1129694	58.775852	40.8801	133.59785	-5.195827	58.84015	40.787487	133.59785	0.03512776	0.9137772	0.24543375	1.0798982	-0.5195827	5125.783	5206.1997	17848.387	0.0012339595	58.683975	41.178467	133.68883	0.00012339595
5	5999	59.45871376991272	-73.65053	97.16768	-7.9260163	-304.62152	222.57143	17.131018	0.0	17.131018	17.131018	62.0	1.9122459	1.4128683	12.879956	-4.8223047	0.47184056	-5.185959	0.8850141	19.740438	-13.202695	-3.0061257	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.7097075	0.54731447	19.552845	1.7881393e-07	-21.17295	14.872653	18.153439	-49.118042	35.377125	30.678488	82.22351	-10.257585	3.231577	2.1483374	10.1406975	-5.1886673	-32.145546	30.464975	14.396566	-80.67694	33.827396	28.585978	80.67694	0.035549734	-0.5640735	0.55528986	1.4396566	-1.1156708	1961.4507	2145.4429	6508.7695	0.0012637837	31.235142	28.146488	80.574265	0.00012637836
6	6999	98.87040567398071	-21.366022	9.510765	-10.255958	-33.486633	64.666664	-5.0243473	0.0	-5.0243473	-5.0243473	20.0	4.8050237	2.4260068	21.508345	-6.083139	1.0227674	-4.9030795	1.062079	2.5595393	-12.735432	-5.999672	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6849397	0.51938754	4.3903866	1.2293458e-07	-26.927444	12.883286	15.165319	-64.003845	43.768288	28.604803	96.873314	-15.297665	6.375681	2.4808147	18.4472	-2.2192607	-37.39261	28.21299	22.705608	-90.25084	41.024475	22.609127	90.25084	0.018240577	-0.5079481	0.7169497	1.8772346	-0.9663581	2194.18	1561.2931	8145.2144	0.00033271866	36.866154	20.630743	84.98243	3.3271866e-05
7	7999	141.08411598205566	-179.09883	176.197	-2.9018295	-355.29584	514.0	-19.727512	0.0	-19.727512	-19.727512	80.0	7.5096154	2.9090536	28.236553	-6.0174074	1.3057652	-4.4623523	1.3491102	3.5331593	-13.524933	-8.798918	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6623945	0.5026328	4.6121855	7.1525574e-07	-25.535095	13.570496	8.459973	-62.480064	47.406197	20.902273	76.06878	-6.7375455	8.845958	2.9029486	20.813635	-1.5282865	-38.56024	21.010462	15.925778	-69.37662	39.687885	18.793705	69.37662	0.25873774	-0.67666334	0.4471815	1.5925778	-1.0712755	1928.3315	1301.2382	4813.1147	0.06694522	33.42968	17.243402	64.41771	0.0060694544
8	8999	180.40042352676392	-246.60324	0.0	-246.60324	-246.60324	1000.0	-0.34308982	0.0	-0.34308982	-0.34308982	86.0	10.0336	3.1032739	32.808895	-4.312636	1.3556348	-4.1334653	1.4969202	5.5195327	-14.1359415	-11.389339	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6443218	0.4902208	4.422411	8.1956387e-07	-15.661616	10.700525	10.251428	-40.679813	32.853443	28.030405	74.26852	-15.271664	11.889711	3.3825223	23.628769	1.8899751	-20.963734	27.875584	28.898094	-64.00605	28.46079	20.16208	64.00605	0.0030776144	-0.103659734	0.9219871	2.6131215	-0.9388965	1216.5264	1312.0773	4096.7744	9.471711e-06	24.696527	17.864355	68.28404	9.4717103e-07
9	9999	221.17977619171143	-179.22815	0.0	-179.22815	-179.22815	1000.0	-78.89299	0.0	-78.89299	-78.89299	234.0	12.338855	3.2269013	35.357822	-2.2788212	1.4274049	-3.9434566	1.5569909	5.135592	-15.624684	-13.711059	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6317156	0.4829746	4.4657164	5.3085387e-07	-25.18509	17.953314	9.856701	-59.47525	33.9363	21.355722	73.539825	-1.9430648	13.574631	3.7184339	32.70543	-0.0767293	-20.361671	21.275286	23.188911	-59.89413	24.047504	16.998617	59.89413	0.006742106	-0.29685044	0.6485032	2.318891	-0.97634226	867.2355	905.33014	3587.307	4.545599e-05	17.840979	13.871163	53.77256	4.3918235e-06
