Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.170929193496704	17.805092	18.830421	116.31808	4.1791897	20.244898	9.920212	0.0	9.920212	9.920212	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.344302	6.634508	38.634113	-0.6646092	8.464104	8.182821	48.535164	-0.32133338	0.005985645	0.20085981	0.9898787	-0.45683116	-8.4581175	8.136825	0.26542088	-48.50791	8.459406	8.135485	48.50791	0.0001473061	-0.60541296	0.35309553	0.02654209	-1.0265052	137.74767	289.913	2353.0176	2.1699085e-08	7.3053803	8.676881	48.48068	2.1699085e-09
1	1999	4.008792400360107	17.651352	18.217997	116.31808	4.1791897	20.0	6.6405783	0.0	6.6405783	6.6405783	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41898	12.392836	65.47387	-0.9333471	12.770884	15.601316	78.04513	-1.0974722	-0.01016344	0.19034973	0.8543323	-0.44855264	-12.781045	15.543642	1.0595093	-78.02913	12.789367	15.536796	78.02913	0.010508674	-0.6435551	0.36503267	0.10595093	-1.0280702	404.9599	956.798	6088.545	0.00011043222	11.80845	16.031511	78.01314	1.1043222e-05
2	2999	5.874409914016724	14.312927	9.851372	60.09726	4.4340734	19.211538	10.471742	0.0	10.471742	10.471742	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.325565	8.041087	35.539444	-1.6252121	11.319306	10.756125	49.237614	-0.917088	0.0072255353	0.16798775	0.7748198	-0.593217	-11.31208	10.739557	0.8802995	-49.24788	11.318981	10.732285	49.24788	0.031987216	-0.66453457	0.3544363	0.08802995	-1.0241808	243.30127	415.9465	2425.3538	0.0010231821	10.334052	11.358286	49.258152	0.000102318205
3	3999	7.71330451965332	17.543024	11.5968685	55.88636	4.821474	21.73913	10.802759	0.0	10.802759	10.802759	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5610485	11.767399	72.16673	-2.9408507	9.960722	14.002308	88.0293	-2.2133508	-0.002614071	0.16211687	0.73478675	-0.46930814	-9.963337	13.967829	2.1310563	-88.05663	9.995718	13.9446745	88.05663	0.0021614172	-0.6112242	0.35696235	0.21310563	-1.0216364	294.36832	1058.2966	7753.97	4.6717237e-06	8.855017	14.380145	88.08398	4.6717238e-07
4	4999	9.552647352218628	19.482939	22.068974	140.57355	5.64561	23.452381	20.96396	0.0	20.96396	20.96396	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.474941	6.0836563	37.794926	-1.8207004	8.770786	7.464816	44.935005	-0.79708016	0.002669435	0.18459687	0.7948108	-0.40230656	-8.768117	7.4275126	0.8036421	-44.959934	8.780423	7.412959	44.959934	0.056383453	-0.63656324	0.35795465	0.08036421	-1.0260333	132.0478	226.69391	2021.3958	0.003179094	7.7288604	8.004806	44.98488	0.0003179094
5	5999	40.094844341278076	50.060715	24.019688	91.335106	9.60331	33.766666	62.82546	0.0	62.82546	62.82546	37.0	3.3902142	2.2745285	14.713927	-2.0322547	0.22585866	-1.3703917	1.1434511	4.7217927	-9.322065	-3.963665	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.8012795	0.58228093	4.721035	5.662441e-07	31.966492	15.830819	60.56666	1.9082466	36.651077	18.270636	71.25184	1.9082466	10.450326	1.7421443	14.008151	6.5740623	-26.200752	19.234123	9.673311	-64.179596	27.353262	17.556482	64.179596	0.0014876804	-0.5374461	0.4319531	0.9673312	-0.9011219	1056.431	1016.4224	4119.0205	2.2131928e-06	21.159044	15.968352	57.809322	1.907109e-07
6	6999	71.27911901473999	107.3393	21.076595	131.97723	71.93926	59.5	146.30348	0.0	146.30348	146.30348	78.0	9.857344	4.5860085	25.690435	-3.7933128	1.1215848	-0.30225688	1.7153758	7.071535	-11.799157	-10.89748	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.92187226	0.6187658	4.1801796	1.1920929e-07	62.219482	29.60731	113.139046	1.9183648	69.9479	33.48669	125.71657	1.9183648	20.006693	2.3848703	24.376009	11.118135	-49.941204	32.767788	21.070477	-110.09141	51.749245	29.830647	110.09141	0.16444528	-0.53405476	0.52243245	2.1070476	-0.87719065	3567.8518	3115.8625	12120.118	0.027042253	39.50544	25.331276	96.57115	0.0014588065
7	7999	102.41903233528137	152.45256	14.066523	177.93248	136.4246	81.833336	175.45522	0.0	175.45522	175.45522	87.0	18.015993	6.7049007	38.551826	-7.745071	2.849022	0.32171947	2.0316553	10.259189	-11.619434	-19.626457	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0146434	0.6683427	4.702323	3.1590462e-06	75.05172	33.184856	120.7422	2.1987672	81.945206	37.060112	134.26126	2.1987672	30.690449	2.397867	35.23516	23.373283	-51.254753	37.41657	30.192936	-109.369705	55.07656	31.52177	109.369705	0.0528055	-0.3773458	0.72154576	3.0192935	-0.8208087	4027.0496	3371.3357	11961.733	0.0027884205	40.216877	25.447039	91.16133	8.816137e-05
8	8999	133.79985404014587	267.59915	54.444847	337.00937	178.62645	118.333336	308.70813	0.0	308.70813	308.70813	130.0	27.439386	8.591393	55.637337	-12.820265	5.445603	0.5613998	2.173069	11.632055	-12.153423	-29.556585	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0477909	0.69985294	5.0178204	5.9604645e-07	112.14826	46.09715	162.91566	2.428369	118.40967	49.81967	176.35701	2.428369	43.501614	4.065113	50.486797	23.396938	-74.90806	50.23044	30.571928	-137.94943	79.20524	43.13751	137.94943	0.35150313	-0.40826988	0.66348654	3.0571928	-0.805024	8134.3135	6307.333	19030.045	0.12355446	56.495136	34.019382	111.052605	0.0025186725
9	9999	165.05334281921387	319.9339	13.174607	338.83804	292.33493	136.85715	324.0216	0.0	324.0216	324.0216	136.0	37.597027	10.590491	68.46818	-17.494152	8.032894	0.70833546	2.245015	13.688717	-12.864643	-40.05839	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0476955	0.72058433	5.8981476	2.026558e-06	121.59907	48.69793	168.74576	2.7151139	124.59339	51.565365	176.5996	2.7151139	52.509647	10.777207	62.67977	5.363941	-72.08375	46.94191	18.377346	-128.10582	73.55484	44.601513	128.10582	0.024070542	-0.45117873	0.32194778	0.7244593	-0.74503994	7399.609	5931.9277	16411.102	0.00057939097	46.488384	33.161144	95.27102	1.0621731e-05
