Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	5.946126937866211	-380.24023	0.0	-380.24023	-380.24023	1000.0	974.3322	0.0	974.3322	974.3322	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.51485	27.896093	7.592059	-104.250916	2.7965763	12.653558	36.085766	-30.516241	-0.18487412	0.15545526	0.3852542	-0.8670026	-2.9814506	12.657476	30.26786	-36.16769	10.078044	8.217895	36.16769	0.021418884	-0.1538055	0.7382655	1.0141616	-1.0848008	169.10077	238.60081	1308.1018	0.00045876863	9.123685	8.964122	36.2498	4.5876863e-05
1	1999	13.744576930999756	-358.08673	0.0	-358.08673	-358.08673	1000.0	974.3322	0.0	974.3322	974.3322	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.147675	25.413013	6.2814503	-84.57918	1.0269526	9.724832	34.596184	-29.5867	-0.17786899	0.14564593	0.26452017	-0.7088991	-1.2048216	9.716136	29.453218	-34.946762	7.3254657	6.495571	34.946762	0.004730001	-0.07750232	0.65960664	1.010454	-1.0419447	95.85489	162.38782	1221.2762	2.2372913e-05	6.101483	7.1434145	35.300896	2.2372913e-06
2	2999	20.98052430152893	-14.571307	35.704567	23.749765	-108.24556	90.2	974.88275	0.0	974.88275	974.88275	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.4465	23.291601	4.8774514	-78.725395	7.611276	9.776029	32.47252	-23.558517	-0.16726509	0.14971541	0.22232017	-0.719851	-7.778541	9.770792	23.562454	-32.6247	9.755728	7.7974267	32.6247	0.032238543	-0.505298	0.57687765	1.0009621	-1.0563222	155.97408	221.237	1064.371	0.0010393237	8.848258	8.509214	32.77759	0.000103932376
3	3999	25.748605728149414	-21.863068	37.32198	4.467001	-85.877014	84.0	975.1334	0.0	975.1334	975.1334	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-27.208168	18.914463	5.1407466	-81.50944	-4.897875	11.754856	31.84768	-30.114452	-0.1936088	0.1639973	0.28317007	-0.89098	4.704266	11.749931	29.985394	-32.248974	10.510138	7.051809	32.248974	0.002442928	0.3326628	0.72626215	1.0179507	-1.0549033	160.19101	191.95248	1039.9962	5.9678973e-06	9.524963	7.7587295	32.655323	5.9678973e-07
4	4999	31.866434812545776	-114.89539	140.84811	-5.842436	-354.56287	296.75	975.02454	0.0	975.02454	975.02454	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-30.45009	26.516817	11.292324	-81.22206	6.300413	13.289913	38.472576	-29.666815	-0.18576786	0.15371434	0.26721382	-0.8717491	-6.4861803	13.284203	29.468103	-38.529953	11.7354145	8.990028	38.529953	0.013001229	-0.36919585	0.71418905	1.0173912	-1.0647925	218.54056	281.20703	1484.5573	0.00016903196	10.961018	9.690035	38.639282	1.6903196e-05
5	5999	69.85961294174194	-321.41492	0.0	-321.41492	-321.41492	1000.0	941.82355	0.0	941.82355	941.82355	1000.0	1.8544044	1.3237373	10.645872	-4.334223	0.3722503	-5.328231	0.62735254	7.8103237	-12.493425	-2.9665654	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.7009034	0.5324574	7.399267	4.61936e-07	-26.862303	18.687153	31.558186	-75.9583	42.295746	23.306248	78.157646	-1.7612244	3.3481677	2.1220653	10.226503	-2.4227939	-38.94758	23.262926	6.0447526	-76.34597	39.164623	22.89563	76.34597	0.023973662	-0.822228	0.28333008	0.60447526	-1.1036834	2058.0776	1795.3276	5828.707	0.00057473645	36.345783	22.63938	76.43637	5.7473648e-05
6	6999	109.28252029418945	-322.55948	0.0	-322.55948	-322.55948	1000.0	207.92429	0.0	207.92429	207.92429	1000.0	4.43068	2.1801648	17.864405	-6.142119	0.6959021	-4.929714	1.0558047	3.056262	-13.507405	-5.6421967	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6867732	0.5195531	4.7281647	2.5704503e-07	-24.775703	17.43686	10.653894	-60.899868	33.376587	21.759016	64.53765	-12.459013	6.4100485	2.676618	14.911443	-1.5491872	-26.96654	22.056543	19.94638	-60.74113	29.133017	19.103739	60.74113	0.0057546045	-0.530005	0.575925	1.7574226	-1.0433285	1213.6854	1088.409	3689.485	3.3115473e-05	25.04597	17.970789	59.653225	3.3115475e-06
7	7999	149.82698369026184	-85.30359	133.51921	20.075232	-376.55185	234.83333	689.6933	0.0	689.6933	689.6933	1000.0	6.667898	2.698994	22.33678	-6.5142493	0.98463935	-4.4311986	1.4017475	5.0096245	-14.548973	-7.981405	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.69299173	0.5236655	4.5547204	8.046627e-07	-35.44189	14.5581255	10.328386	-76.03906	39.536304	15.50533	65.95405	-5.504258	7.7495193	2.9064908	20.39534	-4.824401	-31.786789	15.672616	14.337342	-60.27393	32.752697	13.538518	60.27393	0.45990852	-0.6934606	0.41043097	1.4337343	-1.3956385	1256.0306	804.84045	3632.9468	0.21151584	27.192396	12.513654	55.80607	0.021151586
8	8999	190.33528017997742	-23.112665	28.697298	22.10549	-80.456085	89.333336	540.31995	0.0	540.31995	540.31995	1000.0	8.527363	3.1083949	26.050526	-8.308841	1.3453839	-4.1794424	1.5415353	5.6665344	-13.371701	-9.880117	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.69535196	0.52624196	4.313705	1.2516975e-06	-33.708755	16.07941	4.614564	-74.70344	42.27826	15.115394	73.871155	-2.24527	9.755238	2.9809258	22.154057	-0.8222245	-32.52302	15.123221	13.154468	-65.13405	33.19616	13.582117	65.13405	0.11997411	-0.6772972	0.34775794	1.3154467	-1.0344126	1286.459	746.1128	4242.4443	0.014393787	26.390312	12.143236	59.382427	0.0010020029
9	9999	226.87448501586914	-116.19769	158.56076	2.8527195	-340.2906	356.33334	428.17337	0.0	428.17337	428.17337	1000.0	9.953055	3.2722504	29.462997	-7.9949903	1.4615408	-3.992923	1.6395712	6.107079	-12.839573	-11.325117	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.69758403	0.52830565	5.018161	0.0	-29.119003	18.027626	7.0246286	-68.887474	10.044509	14.274277	53.501827	-26.423294	10.257223	3.8980443	21.955004	-4.203011	0.21271439	14.136589	36.35922	-46.330315	11.286238	8.515235	46.330315	0.037342187	0.26811314	0.8264654	2.372636	-1.0738688	199.88838	312.01602	2146.498	0.001394439	10.783694	12.231462	70.6613	0.0001394439
10	10999	264.64027547836304	-107.87816	126.03607	-10.183663	-323.39816	300.25	560.3333	0.0	560.3333	560.3333	1000.0	11.060022	3.3104787	32.4285	-7.3584685	1.5117698	-3.9135234	1.6795734	6.2292967	-13.935474	-12.437658	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.69591105	0.52702236	4.321855	8.940697e-08	-22.496363	14.948573	10.188256	-50.151005	22.775038	17.559435	48.89175	-13.789954	12.124921	3.6311288	26.51577	-3.0997229	-10.650119	17.298576	27.694841	-39.940685	17.257113	10.717174	39.940685	0.024315856	-0.06280534	0.8118707	2.7694843	-1.0147872	412.6658	403.565	1595.2582	0.00059126085	13.672266	10.630461	76.700424	5.9126087e-05
11	11999	301.00723242759705	-49.549152	28.225685	-3.7055879	-93.10965	97.6	516.951	0.0	516.951	516.951	1000.0	11.800167	3.476483	33.989082	-8.902954	1.8383301	-3.8665366	1.6989559	6.993861	-13.177532	-13.155697	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6926678	0.5249384	4.441129	8.046627e-07	-11.078039	17.712742	26.535652	-52.60001	18.354725	27.082954	74.74359	-32.51109	12.883539	5.1807423	30.134045	-6.9129305	-5.471185	25.372768	43.80409	-64.88287	20.798958	15.527865	64.88287	0.0024067792	0.37864712	0.98375297	2.8383403	-0.9830586	673.71124	848.313	4209.787	5.792586e-06	20.492264	16.370401	80.56176	5.792586e-07
