Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.8818297386169434	22.293045	23.317293	132.62253	5.2394886	24.625	22.02412	0.0	22.02412	22.02412	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73593	16.13447	84.65116	-6.173505	12.405218	19.67729	105.46069	-4.7184544	-0.03970852	0.055857565	0.11139239	-0.28685853	-12.444926	19.683867	4.7072625	-105.49865	12.684283	19.530481	105.49865	0.0036185374	-0.55394536	0.4307086	0.47072625	-1.0131627	542.33075	1736.4965	11129.965	1.3093812e-05	11.838091	19.942799	105.53662	1.3093812e-06
1	1999	3.7341084480285645	20.814556	20.167421	124.153015	5.428253	23.5	22.02412	0.0	22.02412	22.02412	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7426796	5.839001	25.015919	-5.391393	8.677585	8.329505	40.368816	-3.8790689	-0.041716423	0.05516732	0.13313568	-0.2569246	-8.719301	8.33443	3.802873	-40.42471	8.893573	8.148207	40.42471	0.0026477862	-0.5867374	0.41045815	0.3802873	-1.0154406	145.48894	231.51947	1634.157	7.010772e-06	7.9862	8.717497	40.480675	7.010772e-07
2	2999	5.5932629108428955	17.460537	16.582548	105.42657	5.3510084	20.979591	22.22328	0.0	22.22328	22.22328	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9515169	5.535483	29.78602	-6.620209	6.799831	8.188586	46.542347	-4.703459	-0.041890733	0.056382395	0.11480418	-0.23065734	-6.8417215	8.185804	4.6637306	-46.58608	7.392499	7.692042	46.58608	0.008036521	-0.48355556	0.4491761	0.4663731	-1.0195298	113.81656	244.17953	2170.263	6.458567e-05	6.366023	8.186409	46.629852	6.458567e-06
3	3999	7.458059549331665	17.077888	8.235182	38.263966	5.8786683	22.044445	22.130737	0.0	22.130737	22.130737	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9808123	6.9604917	42.577454	-5.378669	8.088824	9.721674	60.792366	-3.7759798	-0.03965092	0.056874476	0.100953825	-0.33883268	-8.128475	9.719249	3.7429526	-60.809834	8.355611	9.524686	60.809834	0.0032914395	-0.5385251	0.42113176	0.37429526	-1.012935	160.5359	425.83325	3697.8357	1.08335735e-05	7.4216576	9.97848	60.827305	1.0833573e-06
4	4999	9.33122205734253	22.184013	22.71988	109.465385	6.3513336	23.47619	18.795391	0.0	18.795391	18.795391	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5633051	5.709669	28.26295	-5.950039	7.3354	7.7947354	38.673763	-3.698196	-0.040457677	0.056129776	0.11428647	-0.27018335	-7.3758574	7.7919564	3.6497579	-38.73837	7.63819	7.53498	38.73837	0.0029548856	-0.5232474	0.42000616	0.36497578	-1.0147294	115.11787	206.8656	1500.6613	8.731349e-06	6.6500783	8.04696	38.803085	8.731349e-07
5	5999	39.216681718826294	57.268402	45.756657	225.62381	6.1817794	44.130436	49.626396	0.0	49.626396	49.626396	29.0	3.2385519	1.9305924	13.8685665	-0.97514665	0.1765428	-1.5606648	1.0320119	5.1013756	-8.678034	-3.755456	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.7910834	0.581738	4.770612	8.940697e-07	29.985659	14.999291	66.8605	1.8646765	34.086025	17.681911	82.714836	1.8646765	9.218179	1.9447736	14.00145	4.8327475	-24.867846	19.071928	10.968633	-76.47923	25.954	17.565248	76.47923	0.092333026	-0.5486378	0.4301278	1.0968633	-0.92608446	982.1481	1079.9893	5849.0728	0.008525388	20.54224	16.446613	70.71371	0.00069493783
6	6999	70.14065885543823	89.71985	36.232727	195.27412	42.78494	50.210526	121.99951	0.0	121.99951	121.99951	68.0	9.234087	4.1801395	25.935925	-3.1659997	0.88706225	-0.35357934	1.7551852	8.0761385	-9.895279	-10.213146	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.9451664	0.6274561	4.10621	1.5497208e-06	53.700787	26.316698	101.95101	1.9080181	58.405666	29.027887	111.554726	1.9080181	18.53634	2.3432372	24.11919	12.043077	-39.869328	28.675266	18.972076	-98.19264	41.558994	26.166471	98.19264	0.047192756	-0.49767256	0.49413756	1.8972077	-0.88021946	2411.8345	2337.9985	9641.795	0.0022271562	30.804146	22.391903	86.431076	0.00012506374
7	7999	100.93562436103821	172.4519	21.206455	205.0221	127.409935	87.454544	167.0494	0.0	167.0494	167.0494	84.0	17.221903	6.4883676	38.268143	-6.987528	1.8105191	0.34618565	1.9837707	10.505564	-11.110679	-18.81819	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0398635	0.66709507	4.575569	2.0638108e-06	72.171036	32.239258	126.614494	2.5628579	78.68917	35.720142	138.44392	2.5628579	28.667664	3.0282493	35.999176	15.918985	-50.021507	35.70416	29.139595	-115.410965	53.550556	30.154205	115.410965	0.020726016	-0.40623093	0.6910722	2.9139595	-0.8392445	3776.9382	3280.3296	13319.69	0.0004295677	39.107094	24.412262	96.85802	1.4702894e-05
8	8999	131.582040309906	203.1123	31.833115	241.02309	112.71782	98.27273	108.328865	0.0	108.328865	108.328865	60.0	26.505154	8.33821	50.833664	-9.640544	2.688916	0.7406156	2.1298423	12.890448	-10.859247	-28.605595	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0930974	0.7055426	5.3319597	7.4505806e-07	88.096664	39.838223	141.43474	1.8858134	90.78515	42.232418	150.8441	1.8858134	39.943985	5.8654814	54.045265	10.321651	-50.841152	42.00852	31.742434	-110.48157	55.822536	35.119553	110.48157	0.12026084	-0.29653713	0.68778324	3.1742435	-0.8311373	4349.5386	3840.9944	12206.177	0.014462669	38.17895	26.475748	100.75821	0.00028979863
9	9999	162.34216594696045	193.05975	38.81139	227.43503	109.72715	90.36364	231.20645	0.0	231.20645	231.20645	104.0	35.89059	9.999295	63.30082	-16.6988	3.40817	0.8421331	2.2147865	15.846447	-10.384608	-38.25565	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.1118568	0.71739894	5.8579364	4.172325e-07	92.880005	41.537556	143.12259	2.119017	96.69597	44.67691	150.62454	2.119017	49.83272	8.598999	64.63959	8.897136	-46.863247	44.18976	38.527725	-105.5031	54.13951	34.89717	105.5031	0.023572527	-0.20650364	0.6865618	3.8527727	-0.71630204	4148.899	3754.4268	11130.903	0.000555664	34.65849	24.998774	148.43857	9.0149215e-06
