Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	6.580284595489502	-380.24023	0.0	-380.24023	-380.24023	1000.0	960.8683	0.0	960.8683	960.8683	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-66.668465	29.764994	9.575373	-95.51334	-33.296486	19.756638	17.345533	-72.12722	0.36656412	0.24606955	1.4751072	-0.33379483	33.66305	19.742603	72.3056	-16.66772	34.08679	19.00164	72.3056	0.006089867	0.8644949	0.35891733	1.1075264	-0.9911581	1522.9714	1220.6239	5228.1	3.708648e-05	34.055325	19.628307	72.80908	3.7086481e-06
1	1999	13.277408838272095	-358.08673	0.0	-358.08673	-358.08673	1000.0	960.8683	0.0	960.8683	960.8683	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-64.77017	28.582706	-1.0560949	-96.716385	-27.66316	14.825986	4.5279965	-54.541622	0.36104354	0.2406282	1.7066746	-0.3855923	28.024204	14.809447	54.71781	-4.252354	28.138945	14.590252	54.71781	0.09021195	0.92181623	0.25958857	1.1253765	-0.42523542	1004.6758	819.28705	2994.0388	0.008138196	28.166311	15.120504	54.89457	0.0008138196
2	2999	20.123517513275146	-14.571307	35.704567	23.749765	-108.24556	90.2	963.5269	0.0	963.5269	963.5269	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-61.93164	28.98883	1.1135904	-103.959755	-25.894213	12.930896	5.764738	-68.15608	0.3573541	0.26345602	1.7050327	-0.3033831	26.251568	12.921469	68.93733	-5.5946436	26.48421	12.437677	68.93733	0.00033719535	0.9243782	0.29280624	1.1409352	-0.55946434	856.10913	680.4525	4752.3555	1.137007e-07	26.600246	12.884481	69.832535	1.137007e-08
3	3999	28.74983048439026	-21.863068	37.32198	4.467001	-85.877014	84.0	963.47516	0.0	963.47516	963.47516	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-64.878075	31.463366	5.604689	-98.82558	-25.810408	16.611694	15.491044	-54.21358	0.35827696	0.2527908	1.4515235	-0.35025662	26.168682	16.59482	54.975544	-15.065006	27.395452	14.480236	54.975544	0.0068388674	0.7624032	0.52120143	1.0968263	-0.9878267	960.18805	701.0768	3022.3105	4.6770107e-05	27.308386	15.188127	55.74822	4.6770106e-06
4	4999	36.5952582359314	-114.89539	140.84811	-5.842436	-354.56287	296.75	960.07715	0.0	960.07715	960.07715	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-64.97383	31.950897	5.329427	-109.732445	-27.754267	20.444956	19.247622	-74.276596	0.35981447	0.23967303	1.3805432	-0.38969663	28.114082	20.429354	74.34171	-18.92406	29.168144	18.893898	74.34171	0.062189944	0.788837	0.47295946	1.0738497	-0.9975862	1207.7601	1292.3801	5526.691	0.0038675894	29.07929	19.489733	74.67553	0.00038675894
5	5999	127.49017834663391	-164.245	150.25577	-13.989214	-314.50076	538.0	850.94775	0.0	850.94775	850.94775	1000.0	2.2974758	1.4688796	11.950603	-3.517078	0.40248471	-5.217657	0.7837077	12.821861	-11.425364	-3.4057224	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6998934	0.53455776	9.386356	2.9802322e-07	-14.525549	14.196821	16.28818	-49.074543	23.002523	16.892315	58.72118	-10.781875	4.0065603	2.1562147	10.661977	-3.2266736	-18.995962	16.716225	14.048852	-56.15559	20.617128	14.670133	56.15559	0.023270965	-0.5484897	0.53050417	1.3841292	-1.1530603	640.2788	700.2778	3153.4502	0.0005415378	17.786856	14.154386	54.06487	5.415378e-05
6	6999	219.37672901153564	-149.66115	131.73859	-46.98133	-335.631	437.33334	469.2862	0.0	469.2862	469.2862	1000.0	5.262885	2.3946037	20.176882	-10.516818	0.6470354	-4.7566037	1.1475328	1.6895266	-13.03327	-6.489082	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6554339	0.49721825	4.3835607	6.109476e-07	-18.868252	12.464482	13.489473	-42.3888	41.177002	21.297289	75.455864	-3.6232374	7.3746834	2.76667	18.09457	-3.2220552	-33.80232	21.460304	11.469897	-71.100525	34.646114	20.069582	71.100525	0.11459047	-0.6736508	0.4026198	1.1469897	-1.0816294	1603.1412	1363.7936	5055.2847	0.013130977	29.42717	19.015701	66.996574	0.0013130977
7	7999	312.61350893974304	-239.02975	0.0	-239.02975	-239.02975	1000.0	718.90625	0.0	718.90625	718.90625	1000.0	8.199373	3.0336947	26.338196	-13.678003	0.7514492	-4.3033633	1.3721609	4.0399837	-14.114676	-9.517588	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.62132776	0.47283	4.286928	6.854534e-07	-12.429416	16.785112	32.28237	-43.13679	57.66978	16.482588	79.305244	-6.1046534	11.036459	3.2152224	23.507473	2.112742	-46.633324	17.437609	19.53201	-69.27773	47.443054	15.096141	69.27773	0.13028648	-0.72001684	0.39163855	1.9532008	-0.9641967	2478.7368	1087.8326	4799.405	0.016974568	39.42924	13.790378	61.430237	0.0011973884
8	8999	403.32170844078064	-12.550746	32.00164	28.524862	-88.159256	106.888885	770.156	0.0	770.156	770.156	1000.0	11.005745	3.4854991	30.345827	-13.690779	0.9610124	-3.9979234	1.5044415	5.568884	-14.817782	-12.377381	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6127714	0.46760312	3.7022066	2.3841858e-07	-3.4230738	13.521524	33.31081	-34.787613	32.008484	22.37605	78.75066	-6.297841	13.700195	4.265991	25.565948	-1.5288174	-18.308289	21.96472	23.00759	-70.55653	22.38306	17.794405	70.55653	0.028475173	-0.24507102	0.6739706	2.3007588	-1.0888904	817.64233	1068.8844	4978.2246	0.0008108355	16.650639	15.050488	67.40686	6.3084495e-05
9	9999	496.98619389533997	-75.54764	32.20304	-34.68784	-113.39624	335.33334	639.30963	0.0	639.30963	639.30963	1000.0	13.545653	3.9395137	34.01961	-13.279575	1.2611145	-3.7234097	1.6327316	5.4184027	-16.32619	-14.958772	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.61783975	0.47167748	4.1800194	4.7683716e-07	-14.972221	12.422545	11.610808	-58.21959	45.759598	24.70224	88.16113	-17.196066	14.989851	3.7750368	26.137283	-0.7483201	-30.769747	23.627918	33.828373	-77.7985	35.00281	16.728989	77.7985	0.018247284	-0.37245935	0.7510222	2.5305073	-0.91040075	1505.0557	1128.8665	6052.607	0.00033296342	27.192686	13.852786	72.31192	3.329634e-05
