Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.8596596717834473	22.293045	23.317293	132.62253	5.2394886	24.625	12.494063	0.0	12.494063	12.494063	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8664536	6.157415	32.47842	-1.0867896	9.171512	8.461191	43.67524	-0.4505931	-0.100205496	0.102642946	0.18763909	-0.5354128	-9.271717	8.419773	0.348033	-43.7239	9.275032	8.4161215	43.7239	0.0076248134	-0.63877064	0.36047494	0.0348033	-1.0206692	156.85732	283.37643	1911.7793	5.813778e-05	8.26906	9.028298	43.772614	5.813778e-06
1	1999	3.672560691833496	20.814556	20.167421	124.153015	5.428253	23.5	12.494063	0.0	12.494063	12.494063	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.387904	7.1197004	49.560474	-1.6109947	8.3028	9.0601635	62.626907	-0.71313334	-0.09646639	0.106428884	0.12489354	-0.42101157	-8.399265	9.019218	0.71560585	-62.642006	8.411047	9.008232	62.642006	0.007362554	-0.593699	0.36631322	0.07156059	-1.0219309	151.89395	424.94385	3924.0208	5.4207198e-05	7.332567	9.518419	62.657104	5.42072e-06
2	2999	5.472539186477661	17.460537	16.582548	105.42657	5.3510084	20.979591	12.466573	0.0	12.466573	12.466573	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3732657	7.5215273	41.612892	-5.646815	8.572284	10.03457	58.225746	-4.208323	-0.08621684	0.10627611	0.22885978	-0.5152413	-8.658502	10.000157	4.1144886	-58.20792	8.879838	9.804144	58.20792	0.009698755	-0.56719357	0.4035726	0.41144887	-1.0201226	174.9728	430.684	3388.162	9.406586e-05	7.8362885	10.326322	58.1901	9.406586e-06
3	3999	7.27270245552063	17.077888	8.235182	38.263966	5.8786683	22.044445	12.48247	0.0	12.48247	12.48247	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.044807	4.049236	18.51477	-3.3771358	6.7019525	5.8689065	28.937382	-1.84593	-0.08762872	0.10623291	0.18673146	-0.4666176	-6.789581	5.8227477	1.676402	-28.923943	6.845077	5.757406	28.923943	0.012326007	-0.55415434	0.3704303	0.1676402	-1.0200211	80.0028	120.78938	836.5944	0.00015193045	5.6926827	6.285355	28.91051	1.5193044e-05
4	4999	9.079689979553223	22.184013	22.71988	109.465385	6.3513336	23.47619	12.347112	0.0	12.347112	12.347112	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1833515	5.3314033	25.881586	-1.4225298	8.118827	7.4030094	37.25751	-0.8939292	-0.09241811	0.10299237	0.22799584	-0.43122548	-8.211245	7.355184	0.6756564	-37.271046	8.218431	7.347154	37.271046	0.0006043633	-0.59980774	0.36880195	0.06756564	-1.0206511	121.523285	203.089	1389.1307	3.6525495e-07	7.174005	7.9238553	37.28458	3.6525496e-08
5	5999	84.78663086891174	60.60046	18.575949	94.77327	14.967806	40.8	45.987106	0.0	45.987106	45.987106	27.0	3.7137437	2.3121307	15.570982	-1.6946307	0.2274808	-1.3297397	1.1905152	6.910829	-8.593846	-4.290122	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.8074349	0.58341324	4.8091364	1.1920929e-07	28.496975	13.75905	58.43927	1.7363584	32.40315	16.031946	70.97311	1.7363584	10.297768	2.0561018	13.969605	5.8672132	-22.10538	17.564224	10.468412	-63.682346	23.572567	15.53975	63.682346	0.012568836	-0.48890436	0.46804705	1.0468413	-0.89731604	797.1498	813.3149	4055.4412	0.00015797565	17.97371	14.090721	57.140533	1.4299259e-05
6	6999	163.40127730369568	169.67203	33.40519	190.25813	60.164204	81.333336	177.9757	0.0	177.9757	177.9757	83.0	10.628592	4.8016105	29.306805	-3.6672888	1.2282037	-0.21652706	1.7960385	9.746002	-9.590011	-11.68375	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.9555098	0.6252371	4.384777	5.9604645e-07	81.16301	33.36484	124.48929	2.601686	85.261505	37.238503	138.19066	2.601686	22.505888	2.9293737	28.238485	14.634274	-62.755615	38.111015	16.09872	-121.59009	64.33356	35.382336	121.59009	0.053169794	-0.56768125	0.48152363	1.6098721	-0.885794	5390.7163	4249.918	14784.149	0.0028270269	50.213917	31.026817	107.70377	0.00011273894
7	7999	242.34598302841187	186.9796	8.745229	204.19507	177.5792	85.454544	200.34717	0.0	200.34717	200.34717	89.0	19.746614	7.5977592	46.957462	-8.863406	2.6996913	0.4341469	2.071121	11.749136	-10.677264	-21.399847	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0469934	0.6784844	4.5938373	5.2154064e-08	86.9191	34.846058	126.011795	3.0018842	93.21383	38.90677	141.43614	3.0018842	34.238953	5.7428265	48.492252	13.678661	-58.974873	39.132805	16.966812	-116.55463	61.127995	35.67604	116.55463	0.100521006	-0.45531163	0.4834297	1.6966813	-0.82829624	5009.412	4049.7065	13584.98	0.010104472	42.688766	28.910324	96.541756	0.00027567605
8	8999	321.0771610736847	203.76549	12.038871	221.2919	183.2727	92.09091	201.54988	0.0	201.54988	201.54988	92.0	30.194233	10.296831	62.999252	-11.58758	4.0781384	0.70800066	2.210665	12.142464	-11.315207	-32.262096	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0590175	0.70368207	4.61388	1.7285347e-06	89.84352	37.560528	135.93794	2.2260454	94.3523	40.690056	148.20554	2.2260454	45.984257	8.457006	63.315376	7.5645366	-48.36804	39.601112	27.89141	-110.80686	52.188946	34.40972	110.80686	0.2525645	-0.28843233	0.62103987	2.7891412	-0.7606505	3907.7148	3603.3203	12278.16	0.063788824	33.275417	25.333426	84.28529	0.0012416923
9	9999	400.0712676048279	209.21255	13.684279	228.83084	184.57402	94.27273	235.76251	0.0	235.76251	235.76251	107.0	40.430782	13.109371	79.344574	-14.417845	5.354296	0.75960433	2.2675247	14.577313	-10.053881	-42.74823	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0441232	0.70594764	4.8573804	2.503395e-06	93.25363	40.264725	139.44511	2.3969965	100.2148	43.75004	152.84438	2.3969965	57.68306	12.67928	78.524506	11.922802	-42.531734	39.9227	20.403025	-105.14048	47.374504	34.035667	105.14048	0.05272759	-0.21635006	0.51639926	2.0403025	-0.7045792	3402.7703	3438.7637	11054.5205	0.0027801988	26.449072	22.529472	74.079796	4.2913685e-05
