Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	4.0260655879974365	17.805092	18.830421	116.31808	4.1791897	20.244898	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3388443	6.663066	38.634113	-2.8871653	8.524761	8.170532	48.535164	-0.8958133	0.020464633	0.20484304	0.9898787	-0.5116168	-8.504295	8.129584	0.68858093	-48.50791	8.511566	8.121972	48.50791	0.0001473061	-0.607416	0.35575724	0.068858095	-1.0265052	138.41318	289.02176	2353.0176	2.1699085e-08	7.3743587	8.663238	48.48068	2.1699085e-09
1	1999	5.06079363822937	17.651352	18.217997	116.31808	4.1791897	20.0	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.910364	12.674937	58.21284	-1.4719443	13.388344	15.978729	72.98529	-1.0055993	-0.0027694388	0.19679053	0.85960317	-0.5937648	-13.391112	15.91608	0.96887517	-73.018166	13.399716	15.908839	73.018166	0.011786406	-0.65481865	0.3610136	0.096887514	-1.0313661	432.6436	972.3306	5331.653	0.00013891936	12.419249	16.418154	73.05106	1.3891937e-05
2	2999	6.051408290863037	14.312927	9.851372	60.09726	4.4340734	19.211538	14.179233	0.0	14.179233	14.179233	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.691361	8.872643	40.37658	-1.1600287	11.582885	11.304089	49.237614	-1.5618551	0.014014489	0.17808674	0.79372823	-0.41851902	-11.5688715	11.278028	1.5101098	-49.24788	11.582451	11.26408	49.24788	0.0036997846	-0.6611725	0.35885492	0.15101099	-1.0241808	261.03268	457.85092	2425.3538	1.3688407e-05	10.607238	11.868051	49.258152	1.3688407e-06
3	3999	7.051738977432251	17.543024	11.5968685	55.88636	4.821474	21.73913	15.235069	0.0	15.235069	15.235069	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3728356	8.29555	55.499645	-1.2615305	8.599229	10.423447	70.26553	-0.5839567	-0.010715322	0.16777639	0.7403084	-0.49515897	-8.609944	10.398187	0.6560875	-70.31199	8.614313	10.3945675	70.31199	0.010666548	-0.5961552	0.35239238	0.065608755	-1.0212151	182.25343	602.69275	4943.776	0.00011377525	7.44176	10.860306	70.35848	1.1377525e-05
4	4999	8.062667608261108	19.482939	22.068974	140.57355	5.64561	23.452381	15.456269	0.0	15.456269	15.456269	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9369516	5.2687497	25.899164	-2.2096133	8.194176	6.466375	29.774874	-1.6860344	0.0023351125	0.19026738	0.76826936	-0.43108243	-8.191839	6.444244	1.6666322	-29.73505	8.211809	6.4187775	29.73505	0.0014658107	-0.6264307	0.36108923	0.16666321	-1.0418873	108.63452	149.25114	884.1732	2.1486012e-06	7.15065	7.0350895	29.69528	2.1486011e-07
5	5999	24.330032348632812	50.060715	24.019688	91.335106	9.60331	33.766666	54.085957	0.0	54.085957	54.085957	31.0	3.3902142	2.2745285	14.713927	-2.0322547	0.22585866	-1.3703917	1.1434511	4.7217927	-9.322065	-3.963665	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.8012795	0.58228093	4.721035	5.662441e-07	33.766148	17.448942	74.371994	1.8359503	38.6624	20.130272	87.68663	1.8359503	10.50178	1.7159921	14.138031	6.826081	-28.160622	21.011467	9.853571	-80.38171	29.313171	19.371119	80.38171	0.011993736	-0.54835165	0.43305477	0.9853571	-0.9166929	1234.5022	1285.3721	6461.219	0.0001438497	22.963993	17.770447	73.68534	1.3187506e-05
6	6999	41.009192943573	107.3393	21.076595	131.97723	71.93926	59.5	143.73436	0.0	143.73436	143.73436	79.0	9.857344	4.5860085	25.690435	-3.7933128	1.1215848	-0.30225688	1.7153758	7.071535	-11.799157	-10.89748	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.92187226	0.6187658	4.1801796	1.1920929e-07	61.821785	29.576647	111.044075	1.9074991	69.55749	33.395866	123.70378	1.9074991	19.950256	2.428732	24.036922	11.620847	-49.60724	32.55949	20.773125	-108.263466	51.367973	29.70404	108.263466	0.07517244	-0.5352024	0.51381236	2.0773125	-0.8755238	3520.9985	3083.3745	11720.979	0.0056508956	39.108223	25.22135	94.78725	0.00031542053
7	7999	57.655843019485474	152.45256	14.066523	177.93248	136.4246	81.833336	173.22424	0.0	173.22424	173.22424	86.0	18.015993	6.7049007	38.551826	-7.745071	2.849022	0.32171947	2.0316553	10.259189	-11.619434	-19.626457	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0146434	0.6683427	4.702323	3.1590462e-06	74.686775	33.12966	121.044365	2.1933215	81.65055	36.94195	134.1498	2.1933215	30.667057	2.4353714	35.186188	23.538471	-50.983498	37.26314	30.174397	-108.948235	54.779976	31.41676	108.948235	0.02596873	-0.3774438	0.71722156	3.0174396	-0.8182643	3987.8584	3344.001	11869.719	0.000674375	39.916443	25.328037	91.04942	2.1353979e-05
8	8999	74.29114651679993	267.59915	54.444847	337.00937	178.62645	118.333336	311.35013	0.0	311.35013	311.35013	135.0	27.439386	8.591393	55.637337	-12.820265	5.445603	0.5613998	2.173069	11.632055	-12.153423	-29.556585	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0477909	0.69985294	5.0178204	5.9604645e-07	111.52544	46.52711	163.47194	2.416124	117.114655	49.79766	173.8905	2.416124	43.689785	4.423736	50.528896	19.661129	-73.42488	50.027637	35.69279	-135.86505	77.77101	42.96098	135.86505	0.32915667	-0.39951712	0.6621698	3.5692792	-0.80147535	7893.9766	6209.434	18459.31	0.10834411	55.165867	33.904808	127.39754	0.0024207516
9	9999	91.02285933494568	319.9339	13.174607	338.83804	292.33493	136.85715	329.17847	0.0	329.17847	329.17847	137.0	37.597027	10.590491	68.46818	-17.494152	8.032894	0.70833546	2.245015	13.688717	-12.864643	-40.05839	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0476955	0.72058433	5.8981476	2.026558e-06	120.42029	48.43131	168.38828	2.6981525	123.92954	51.29842	179.96501	2.6981525	52.4512	10.835192	64.06397	2.838698	-71.47834	46.63047	17.150732	-131.05894	72.94211	44.305794	131.05894	0.017920103	-0.45311928	0.31285566	0.686153	-0.7486711	7283.5547	5877.921	17176.447	0.0003211301	45.95323	32.959957	97.77581	2.7897006e-05
