Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	4.7115583419799805	-27.338823	26.886124	-3.8178897	-71.83286	80.25	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.88142	39.497974	10.876185	-144.65662	-41.546932	34.106655	14.549747	-132.77438	0.16892701	0.36100048	1.7720551	-0.9403382	41.715866	34.100967	133.6289	-14.750885	42.588898	33.004166	133.6289	0.09586048	0.8345516	0.43374628	1.0923079	-1.0337925	2903.0894	3526.1853	17856.686	0.009189231	42.423016	33.391422	134.50917	0.0009189232
1	1999	9.322798013687134	-65.52234	107.431885	12.008381	-310.5375	207.625	937.85846	0.0	937.85846	937.85846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-74.10312	37.856396	6.841149	-130.53026	-63.10496	35.123966	9.913611	-126.59293	0.1277751	0.31974703	1.3421358	-0.8868837	63.232735	35.115894	126.78928	-9.826115	63.509743	34.61239	126.78928	0.02060565	0.88295025	0.32863083	1.0823134	-0.9826115	5231.5044	4089.1372	16075.523	0.0004245928	63.365623	35.078487	126.98595	4.2459284e-05
2	2999	12.841970920562744	-390.4896	0.0	-390.4896	-390.4896	1000.0	937.44196	0.0	937.44196	937.44196	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-49.486233	35.78517	10.135478	-105.6277	-43.640213	31.432997	10.910221	-99.169044	0.15741616	0.34010538	1.5356193	-1.0214739	43.79763	31.426928	99.17824	-10.780376	44.23855	30.80317	99.17824	0.109312676	0.866193	0.36675897	1.1247228	-0.99193436	2905.8843	2966.0933	9836.322	0.011949261	44.07959	31.217466	99.4782	0.0011949261
3	3999	16.15607237815857	-54.080395	35.98013	-26.114645	-104.87756	88.0	928.5981	0.0	928.5981	928.5981	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-58.26096	39.466812	0.8667238	-128.9721	-51.43336	36.514053	2.0600832	-123.50539	0.12896642	0.32660708	1.7118573	-0.73731506	51.562325	36.51295	123.516655	-2.3900483	51.57393	36.496563	123.516655	0.07014287	0.9309929	0.2116386	1.1166828	-0.23900482	3991.8691	3937.5525	15256.364	0.004920022	51.449516	36.829918	123.52792	0.00049200223
4	4999	20.962495803833008	-160.96135	144.78775	-16.173592	-305.7491	513.0	932.88116	0.0	932.88116	932.88116	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-79.00858	29.581484	1.4513868	-133.0245	-69.150856	26.810404	3.8145888	-134.13548	0.14349574	0.34418097	1.5003397	-0.8106793	69.29436	26.810528	134.70662	-3.7957468	69.3508	26.664196	134.70662	0.018758573	0.9561292	0.19901289	1.0955307	-0.3795747	5520.5117	2883.3826	18145.875	0.00035188402	69.38372	26.945492	135.84001	3.5188405e-05
5	5999	42.5080783367157	-204.08849	203.67299	-51.032295	-719.62604	191.77777	-31.008804	0.0	-31.008804	-31.008804	14.0	134.47711	138.58313	623.35333	-2.229216	212.72858	4.621567	8.372832	81.24297	-13.461855	-142.84482	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.3679364	0.98742354	19.785881	5.364418e-07	-119.37557	80.16377	-0.42345938	-238.89749	-383.62906	254.21477	-0.5477354	-722.1036	509.54993	45.110325	650.91724	387.09314	893.179	240.72925	1356.8716	449.75223	893.179	240.72925	1356.8716	449.75223	5.6690826	9.29694	57.82212	1.5734235	855719.3	428513.8	1841100.6	202277.08	3867.7415	4860.845	36038.64	1617.1805
6	6999	64.13353991508484	-149.5255	235.3244	-20.354626	-957.559	70.71429	-74.429016	0.0	-74.429016	-74.429016	36.0	702.0253	147.6397	1229.7389	174.83649	2211.5894	18.441904	11.18102	86.36961	-11.929325	-724.24396	0.20000003	2.9802322e-08	0.2	0.2	0.0	2.2954626	1.6354556	22.238598	6.131828e-06	-127.87837	66.04079	0.10889767	-213.60983	-383.18793	209.51425	0.10889767	-672.0225	875.0648	65.394485	1062.1167	661.3932	1258.2528	237.91667	1678.5759	673.6681	1258.2528	237.91667	1678.5759	673.6681	6.5554543	11.179609	90.162384	2.1721628	1639804.4	593113.5	2817617.2	453828.75	6834.641	8871.354	81292.555	2762.002
7	7999	86.49540376663208	-1892.6598	0.0	-1892.6598	-1892.6598	1000.0	-102.826164	0.0	-102.826164	-102.826164	72.0	978.09717	167.81667	1398.2089	10.874605	2823.9785	19.265612	10.93118	89.345436	-13.51611	-1002.5846	0.20000003	2.9802322e-08	0.2	0.2	0.0	2.3070302	1.6696321	29.837498	4.172325e-07	-144.4281	59.92314	-1.1490186	-201.62195	-370.80692	166.6018	-1.1490186	-551.4765	1102.6233	165.41109	1399.169	521.4674	1473.43	285.218	1940.6674	536.57477	1473.43	285.218	1940.6674	536.57477	7.030919	11.086454	108.08233	2.678837	2252345.5	816289.8	3766190.0	287912.44	8818.443	10529.201	116817.89	3492.1135
8	8999	108.56319975852966	-221.67566	21.544395	-200.13126	-243.22005	134.5	-1602.2341	0.0	-1602.2341	-1602.2341	1000.0	871.541	181.1795	1399.4227	-50.494953	1864.394	14.729689	8.919908	78.29349	-13.728487	-891.34735	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.9295176	1.4068177	18.112114	7.867813e-06	-129.05089	38.264526	-3.6662323	-175.74324	-270.94022	76.21562	-3.6662323	-350.82104	779.6656	56.644543	898.17474	494.57812	1050.6057	93.010315	1181.3325	516.25604	1050.6057	93.010315	1181.3325	516.25604	4.6353636	3.748263	61.437016	2.905343	1112423.4	181351.45	1395546.5	266520.34	4655.9116	2614.0156	37745.066	2788.01
9	9999	131.66299748420715	-1447.6644	0.0	-1447.6644	-1447.6644	1000.0	-82.42327	0.0	-82.42327	-82.42327	123.0	610.3253	150.22314	1082.4209	-125.27593	853.9285	9.262169	6.8879657	61.66858	-12.811569	-624.10986	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.4686017	1.094196	12.003875	1.4901161e-06	-108.10938	11.143159	-79.98507	-135.11229	-207.6025	14.168087	-165.99113	-237.6646	470.2353	50.138584	618.4453	285.341	677.8378	48.911915	824.10443	508.397	677.8378	48.911915	824.10443	508.397	3.279651	0.3130111	4.0071383	2.2792346	461856.44	66759.0	679148.06	258467.53	2233.6123	340.6162	3302.3	1158.7561
10	10999	154.96115708351135	-311.48044	398.43747	-21.815042	-1102.6337	329.4	-209.94318	0.0	-209.94318	-209.94318	308.0	375.90125	99.18776	712.82306	-139.82777	322.41605	5.0950227	4.9280057	45.74485	-13.407217	-384.8063	0.20000003	2.9802322e-08	0.2	0.2	0.0	1.0960249	0.8475279	8.576654	2.3841858e-07	-69.442795	17.264755	-0.92356026	-102.608154	-129.70848	32.051254	-0.92356026	-191.414	284.7023	42.089382	403.22943	167.77708	414.41083	42.350777	519.54706	181.08218	414.41083	42.350777	519.54706	181.08218	3.5596862	1.8752787	21.195023	2.1726508	173529.89	33956.516	269929.16	32790.758	1445.7415	550.5867	5386.5337	805.66345
11	11999	177.79934930801392	-286.81943	0.0	-286.81943	-286.81943	432.0	372.89355	0.0	372.89355	372.89355	1000.0	216.17052	57.545506	410.78586	-104.16875	145.78923	2.5841742	3.7625227	36.72569	-14.398598	-222.11176	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.8718739	0.6878917	7.909271	1.3634562e-06	-36.27941	18.732674	-4.409586	-84.52375	-50.69474	23.79232	-12.947578	-112.38093	162.53369	22.97969	235.0465	90.69942	213.22842	27.568747	290.72803	122.5759	213.22842	27.568747	290.72803	122.5759	5.1773148	2.4529057	14.319774	1.9502679	46226.39	11709.595	84522.79	15024.85	1084.1234	515.35425	3061.0488	363.03372
12	12999	200.3275330066681	-394.7301	0.0	-394.7301	-394.7301	1000.0	543.562	0.0	543.562	543.562	1000.0	125.20112	36.5941	250.50337	-57.057995	69.49296	0.8749315	3.0309136	28.944931	-15.128323	-129.39476	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.73498404	0.584371	6.5353518	8.34465e-07	-11.598909	7.6110325	2.0153627	-35.915154	-5.9363685	8.558931	8.0010805	-35.109856	91.97161	10.572924	112.68008	6.9498787	97.90798	12.399235	135.9822	13.422151	97.90798	12.399235	135.9822	13.422151	8.818046	1.8201537	11.819339	1.3422151	9739.713	2362.8374	18491.158	180.15413	864.714	214.44534	1454.8987	18.015413
13	13999	223.69247913360596	-117.264786	0.0	-117.264786	-117.264786	1000.0	768.566	0.0	768.566	768.566	1000.0	74.680084	25.028034	162.08942	-30.732763	34.651306	-0.3937656	2.594542	24.07209	-16.938044	-77.75846	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.66378486	0.52640104	5.642306	1.7881393e-07	-4.299043	8.478868	12.837428	-26.8487	12.437494	7.460597	28.989819	-7.665902	52.93112	7.246387	68.71774	13.816641	40.49363	10.007078	64.77833	-2.9187703	40.49919	9.984554	64.77833	2.3906898	3.2432277	1.5070091	6.4778333	-0.17440684	1739.8757	778.23285	4196.2324	5.715398	144.69116	92.792816	419.62323	0.29588574
14	14999	247.7963001728058	-52.573883	0.0	-52.573883	-52.573883	1000.0	659.3814	0.0	659.3814	659.3814	1000.0	43.389496	17.614372	101.532974	-27.0492	17.292835	-1.5742943	2.241849	15.219514	-14.77291	-45.654095	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6163033	0.48577055	4.8904223	9.685755e-07	-3.5312693	9.769585	19.73585	-24.136112	38.663795	10.2660885	60.026085	16.972204	28.22254	5.097729	39.464577	7.3955154	-10.441254	10.815122	13.241501	-46.807526	12.053449	8.983375	46.807526	0.017594753	-0.21850687	0.25200465	0.7801875	-0.82772374	225.98665	299.71194	2190.9446	0.00030957532	4.8448772	5.4309115	38.743702	1.087326e-05
15	15999	271.41232085227966	-8.925079	0.0	-8.925079	-8.925079	1000.0	540.43	0.0	540.43	540.43	1000.0	24.128551	12.224974	64.952065	-22.742336	9.148387	-2.56645	1.9596277	9.903429	-14.315498	-25.898106	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.6016382	0.46895874	4.5703306	1.868466e-08	-9.76773	11.560935	13.414539	-36.871513	39.45785	16.766706	70.79227	-11.700913	12.256389	4.5386147	27.368916	-8.565525	-27.20146	16.183332	17.181265	-65.71028	28.552332	13.659579	65.71028	0.008082006	-0.55371535	0.45716628	1.7181265	-1.0531272	1001.8197	788.2436	4317.8413	6.5318825e-05	21.155098	12.085603	61.54504	6.5318827e-06
16	16999	294.2907245159149	-41.512432	62.378124	35.313107	-161.89542	275.33334	844.9083	0.0	844.9083	844.9083	1000.0	14.795533	8.885328	43.39922	-21.925276	5.752253	-3.3031814	1.7278478	6.6452827	-13.442278	-16.287361	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.59931606	0.46160743	4.080169	3.427267e-07	-10.085734	11.222464	13.121128	-36.290745	37.843548	26.25184	83.077896	-12.386846	9.049845	5.877874	28.515488	-81.64599	-28.793707	25.512367	21.2942	-79.8203	31.056229	22.703943	79.8203	0.014403094	-0.48545587	0.63109416	2.12942	-7.9820294	1479.9583	1539.8613	6371.28	0.0002074491	26.309015	27.716122	637.1279	2.074491e-05
17	17999	317.42754912376404	-25.16471	29.240063	2.1067584	-74.456245	209.0	828.0255	0.0	828.0255	828.0255	1000.0	12.682882	7.478458	35.354813	-23.1336	4.5421515	-3.696351	1.5813367	5.6450257	-13.881806	-14.05951	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.59659374	0.45712656	4.2181454	7.1525574e-07	-9.193171	12.200026	11.593463	-47.33779	52.053925	20.085575	84.63813	-0.1778055	14.919058	7.809839	32.437645	-4.4824796	-37.13487	18.003925	14.069722	-78.91807	37.544704	17.132862	78.91807	0.06980826	-0.6478362	0.2894496	1.4069722	-1.0703247	1703.1398	1213.8754	6228.061	0.004873193	27.98187	15.856488	73.64494	0.00048731928
18	18999	340.3822317123413	-16.539986	9.289529	-7.2504573	-25.829515	446.5	774.1179	0.0	774.1179	774.1179	1000.0	14.597923	7.0554338	36.56387	-21.753391	4.291015	-3.833506	1.5001819	4.634679	-14.979755	-15.938033	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.5826803	0.44638065	4.211056	8.940697e-08	-3.0811644	15.228866	34.620327	-58.18572	50.616196	20.361273	83.86608	0.08249914	13.54785	4.693881	26.552393	-11.245468	-37.068348	20.607145	22.311363	-74.367836	37.776146	19.278996	74.367836	0.053635042	-0.6350049	0.37539175	2.2311363	-1.8587488	1798.7169	1406.9706	5530.5747	0.0028767178	29.261963	17.426725	68.05544	0.00016690958
19	19999	362.7087912559509	-15.259725	39.65781	28.302948	-67.63245	328.33334	585.74384	0.0	585.74384	585.74384	1000.0	17.842682	6.949811	41.903717	-17.994225	4.3233933	-3.7639256	1.5017465	3.7103996	-14.6182575	-19.19438	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.56365895	0.43224695	4.0189996	6.556511e-07	-7.620637	12.688222	20.817467	-31.391212	40.131783	20.974787	91.33676	-1.6342547	18.06199	3.3086832	27.402775	-0.7049437	-22.06979	20.531258	18.882538	-72.22821	24.580278	17.447582	72.22821	0.014151754	-0.33740538	0.5386968	1.8882538	-0.87379396	908.60815	1014.5277	5216.914	0.00020027213	16.548763	13.502578	58.06185	1.5298314e-05
20	20999	385.8775236606598	-1.2664328	17.585705	16.319271	-18.852137	609.5	792.7949	0.0	792.7949	792.7949	1000.0	22.425808	6.9187813	46.247425	-17.266275	4.381946	-3.5633955	1.5427105	7.1011057	-14.2088785	-23.821188	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.54178977	0.4160831	3.5461392	4.61936e-07	8.561632	13.944627	41.419704	-16.194506	66.73605	21.26384	109.311745	-0.31423315	23.866596	3.1880124	35.27873	12.551964	-42.869457	20.465425	16.127733	-85.292206	43.38211	19.355013	85.292206	0.5658098	-0.581814	0.26044723	1.6127733	-0.8016192	2256.624	1727.6791	7274.7603	0.3201407	28.988247	15.980062	67.766884	0.010843906
21	21999	409.2515916824341	23.628424	0.0	23.628424	23.628424	1000.0	658.21533	0.0	658.21533	658.21533	1000.0	27.75993	6.9860163	50.761787	-13.939862	4.58977	-3.326241	1.5925968	6.1237745	-14.272005	-29.212234	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.51928395	0.39945343	3.531379	5.9604645e-08	4.957256	13.599118	35.06513	-36.747845	56.607677	21.774897	96.724686	-1.7602811	29.810474	3.8031998	40.13711	14.530323	-26.797197	21.326185	39.934467	-69.627975	29.554968	17.303175	69.627975	0.052851133	-0.313157	0.6060634	3.9934466	-0.7603572	1172.896	1080.3848	4848.0547	0.0027932425	18.252659	16.816437	159.47617	8.814581e-05
22	22999	433.1675317287445	140.63898	0.0	140.63898	140.63898	712.0	842.1019	0.0	842.1019	842.1019	1000.0	32.6961	7.1013775	56.13727	-16.154621	4.470418	-3.1636543	1.610873	5.200535	-15.002485	-34.195007	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.499919	0.3855314	3.8199854	3.5762787e-07	19.629625	6.575177	37.298286	6.3686604	79.938614	7.292341	97.0405	63.653423	37.930714	7.0471663	53.9443	21.029774	-42.0079	9.326991	-25.45352	-70.128716	42.0079	9.326991	70.128716	25.45352	-0.52289927	0.08816304	-0.32694006	-0.76930535	1851.6567	829.5273	4918.036	647.88165	22.722296	8.616476	53.950394	8.321775
23	23999	456.5118057727814	210.24713	0.0	210.24713	210.24713	1000.0	839.5798	0.0	839.5798	839.5798	1000.0	37.31677	7.0798564	61.679955	-16.018991	4.460349	-3.059884	1.6190692	5.7007446	-14.578288	-38.838493	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.48425472	0.37429523	3.7266183	6.7055225e-07	23.702583	11.661025	55.855225	-9.776608	77.736275	22.87118	117.96583	-4.2526298	40.295456	3.161371	51.074883	19.772097	-37.44082	21.685886	39.508575	-76.548805	40.527664	15.152592	76.548805	0.26076427	-0.324466	0.712523	3.9508574	-0.6760707	1872.0925	1193.682	5859.719	0.067998	24.477718	19.00116	156.09274	0.0016649158
24	24999	480.25952100753784	199.33577	0.0	199.33577	199.33577	1000.0	895.4596	0.0	895.4596	895.4596	1000.0	41.12406	7.258262	65.594025	-18.54181	4.3626966	-2.9704733	1.6286168	7.1862545	-15.47028	-42.667233	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.47366354	0.36648622	3.4371967	5.9604645e-08	36.44612	9.660706	56.491947	9.062613	93.176384	10.455797	114.374245	61.811485	46.156483	2.5426798	54.107452	36.388344	-47.019905	9.950342	-12.060499	-67.981544	47.019905	9.950342	67.981544	12.060499	-0.49860957	0.06088463	-0.19439353	-0.6241	2309.8804	883.5282	4621.49	145.45564	24.026825	7.2413225	41.36857	2.3444831
25	25999	503.83797311782837	400.9323	0.0	400.9323	400.9323	1000.0	839.8114	0.0	839.8114	839.8114	1000.0	44.927723	7.33944	70.6269	-22.881819	4.248962	-2.9082556	1.645501	6.780755	-14.906807	-46.491203	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.4665563	0.36077937	3.6072798	1.4901161e-08	34.54296	13.407621	66.35271	7.5251493	88.998405	12.6837845	120.97799	63.962948	48.34329	3.854315	60.67961	28.834606	-40.65512	11.005077	-15.593119	-73.6764	40.65512	11.005077	73.6764	15.593119	-0.4488876	0.06718435	-0.23919295	-0.61132073	1773.95	923.56616	5428.212	243.14534	18.949083	7.5272284	45.03991	3.7297637
26	26999	528.0373868942261	445.85715	0.0	445.85715	445.85715	1000.0	807.11285	0.0	807.11285	807.11285	1000.0	49.34555	7.490398	73.881065	-22.30599	4.1167	-2.8506813	1.6615695	8.148837	-14.796811	-50.945736	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.46370694	0.35925123	3.5074844	1.4901161e-07	20.146317	9.721762	42.500416	-6.7204127	70.003456	16.744411	95.37984	-0.3470393	57.048496	6.5607276	71.80313	28.48027	-12.954955	16.544947	53.542274	-44.33244	17.947777	10.929019	53.542274	0.17453709	-0.025370134	0.84129614	5.3542275	-0.48019668	441.56613	502.99203	2866.7751	0.030463198	11.604168	35.368477	286.6775	0.0005268374
27	27999	552.1440436840057	220.22678	194.52896	414.75574	25.697807	513.5	859.7972	0.0	859.7972	859.7972	1000.0	52.747665	7.3782973	75.87923	-19.933186	3.9237385	-2.8348196	1.6587523	8.688978	-15.409344	-54.346783	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.45957083	0.3562499	3.5077858	1.1920929e-07	35.29957	9.737996	59.782127	17.751087	88.338844	8.993661	114.349686	72.26045	58.12207	4.5935445	72.30817	46.37148	-30.216782	9.02954	-9.391921	-57.185284	30.216782	9.02954	57.185284	9.391921	-0.336906	0.072563246	-0.11534539	-0.50119615	994.58655	591.4845	3270.1567	88.20818	10.806769	5.2586083	28.661043	1.0833149
28	28999	576.0259346961975	311.35245	0.0	311.35245	311.35245	1000.0	876.34656	0.0	876.34656	876.34656	1000.0	55.210533	7.3462167	79.7648	-16.910812	3.7121828	-2.8583553	1.6696471	8.38625	-14.5656395	-56.792892	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.4623974	0.3584161	3.821486	1.6391277e-07	33.39721	13.030755	58.68795	4.792519	85.803276	14.426154	109.38704	60.034054	58.56387	5.3265896	77.008934	41.755173	-27.239405	12.764324	0.08414275	-49.772713	27.239565	12.763983	49.772713	0.08414275	-0.3020339	0.11098496	0.0012940177	-0.48690915	904.913	673.19794	2477.3228	0.0070800027	9.598429	6.303162	24.028778	0.0001088822
29	29999	600.0409877300262	243.4417	0.0	243.4417	243.4417	1000.0	852.4762	0.0	852.4762	852.4762	1000.0	56.366024	7.444585	81.26914	-19.642668	3.4435885	-2.901899	1.6723847	9.091019	-15.068236	-57.93136	0.20000003	2.9802322e-08	0.2	0.2	0.0	0.4639414	0.3598675	3.4425266	2.3841858e-07	22.403458	13.197855	49.764587	-2.2293878	73.52544	18.040415	100.514626	42.43668	61.932137	4.094187	78.38008	45.821854	-11.593304	18.842037	24.672295	-47.53924	20.011137	9.432997	47.53924	0.028442448	-0.09281773	0.27246422	0.5368071	-0.50744987	489.42703	401.2321	2259.9795	0.0008089728	6.1344275	4.05522	24.123781	1.3600244e-05
