Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	11.401220798492432	-380.24023	0.0	-380.24023	-380.24023	1000.0	964.36346	0.0	964.36346	964.36346	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-54.9479	38.586746	8.726243	-121.20154	-55.100838	37.460304	8.177985	-136.04718	0.14162801	0.36296457	1.3241199	-1.1521711	55.242462	37.461845	136.5661	-8.110743	55.33747	37.321365	136.5661	0.02173752	0.9034331	0.2754828	1.079098	-0.81107426	4455.1196	4318.628	18650.299	0.00047251975	55.22541	37.678627	137.08699	4.7251975e-05
1	1999	15.367335319519043	-358.08673	0.0	-358.08673	-358.08673	1000.0	964.36346	0.0	964.36346	964.36346	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-67.24337	44.401398	2.498217	-140.49538	-70.07428	44.807343	7.1387224	-162.70993	0.14533685	0.362193	1.2505165	-0.94260573	70.21962	44.793957	163.11255	-7.9423943	70.39803	44.51304	163.11255	0.008554228	0.90797025	0.28746286	1.0981351	-0.7942394	6937.294	5812.397	26605.701	7.3174815e-05	70.307976	44.856853	163.51614	7.317481e-06
2	2999	19.163445472717285	-14.571307	35.704567	23.749765	-108.24556	90.2	972.42267	0.0	972.42267	972.42267	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-84.90149	33.16405	-0.2075586	-115.975044	-87.15241	33.436996	-0.2075586	-126.89586	0.1345311	0.35348225	1.320827	-0.9972896	87.28695	33.442398	127.35301	0.19477996	87.28695	33.442398	127.35301	0.19477996	0.9824294	0.10955809	1.0524861	0.019477997	8737.404	4671.145	16218.789	0.037939236	87.35057	33.63184	127.811806	0.0037939236
3	3999	21.705165147781372	-21.863068	37.32198	4.467001	-85.877014	84.0	972.8621	0.0	972.8621	972.8621	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.98598	26.433052	3.002846	-96.51991	-36.42416	26.988647	4.887237	-97.73564	0.15882921	0.3528352	1.4347613	-1.0459095	36.58299	26.996817	97.94018	-4.247127	36.64124	26.917704	97.94018	0.0013321912	0.8874513	0.27963945	1.078673	-0.4247127	2067.1433	2378.5608	9592.279	1.7747333e-06	36.455666	27.352274	98.74597	1.7747332e-07
4	4999	25.706796884536743	-114.89539	140.84811	-5.842436	-354.56287	296.75	930.6344	0.0	930.6344	930.6344	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-70.7387	36.479145	5.3338213	-107.175735	-67.49791	31.766949	1.4220763	-105.99959	0.14130194	0.34873697	1.419494	-1.0271392	67.63921	31.750782	106.035385	-1.1139708	67.647224	31.733713	106.035385	0.19080497	0.96812594	0.14663939	1.0752311	-0.11139707	5583.1753	3563.0227	11243.502	0.036406536	67.65016	31.999128	106.304146	0.0036406536
5	5999	49.52043795585632	-937.95746	0.0	-937.95746	-937.95746	1000.0	-275.55682	0.0	-275.55682	-275.55682	79.0	24082.67	29623.912	196362.62	-2.5666034	57020360.0	41.619358	26.968233	106.588806	-13.207741	-27214.332	0.20000003	2.9802322e-08	0.2	0.2	0.0	4.191489	4.5110855	105.32164	2.6226044e-06	-274.17355	71.10487	-2.024277	-327.90128	-1766.822	444.54984	-2.024277	-1995.8352	132646.73	13034.395	203824.03	56901.047	134413.55	13026.289	205766.12	57724.49	134413.55	13026.289	205766.12	57724.49	138.12236	616.0849	14099.486	31.23584	18236690000.0	3608427800.0	42339697000.0	3332116500.0	18355250.0	81625230.0	1987955300.0	1875065.0
6	6999	74.11065220832825	-3066.0356	0.0	-3066.0356	-3066.0356	1000.0	-2998.978	0.0	-2998.978	-2998.978	1000.0	347232.25	188547.47	1412980.2	31106.86	4830306300.0	90.9399	13.446344	142.64798	31.893742	-384832.06	0.20000003	2.9802322e-08	0.2	0.2	0.0	12.697787	15.24813	186.10191	9.655952e-06	-295.12024	35.93065	-2.5349145	-307.96954	-2343.3313	286.50058	-2.5349145	-2400.1216	880924.4	49406.88	1349199.2	385285.84	883267.7	49370.777	1349573.8	387678.56	883267.7	49370.777	1349573.8	387678.56	565.54004	3068.7075	92763.51	162.02327	782599260000.0	91399820000.0	1821349200000.0	150294680000.0	508014460.0	2825159000.0	86050685000.0	62812948.0
7	7999	98.59524130821228	-2940.9436	0.0	-2940.9436	-2940.9436	1000.0	-3003.7202	0.0	-3003.7202	-3003.7202	1000.0	1200359.6	392797.5	3619797.8	207908.23	38421963000.0	116.70465	13.259376	179.314	54.45812	-1301702.4	0.20000003	2.9802322e-08	0.2	0.2	0.0	17.618872	16.215738	219.01747	0.00023037195	-299.84988	0.46819383	-294.60535	-302.98978	-2384.8613	2.3787394	-2378.2327	-2404.1226	2291158.0	102366.57	3412629.0	920280.5	2293542.8	102366.23	3415013.0	922684.6	2293542.8	102366.23	3415013.0	922684.6	961.716	42.93113	1432.4495	383.79266	5270817000000.0	470992450000.0	11662314000000.0	851346900000.0	2210130700.0	197237340.0	4891833300.0	354119580.0
8	8999	122.33737349510193	-1551.06	1418.6642	-132.3959	-2969.724	520.0	-167.60234	0.0	-167.60234	-167.60234	53.0	2442133.0	606953.4	6379720.0	589150.0	116057390000.0	122.83588	16.009554	200.21031	72.12835	-2595314.8	0.20000003	2.9802322e-08	0.2	0.2	0.0	25.81694	17.936579	248.47992	1.0854099e-05	-251.71751	85.40247	-0.70490944	-320.55353	-2750.7366	932.2132	-0.70490944	-3221.0605	3992861.0	566415.3	5737684.0	1567366.1	3995611.8	566133.75	5740826.5	1568310.9	3995611.8	566133.75	5740826.5	1568310.9	5124.0405	29342.574	517081.72	520.7494	16285418000000.0	4464642600000.0	32957086000000.0	2459599000000.0	22301737000.0	132727340000.0	2673735000000.0	865478850.0
9	9999	145.12660241127014	-2143.9746	885.0861	-1258.8885	-3029.0608	705.5	-72.6538	0.0	-72.6538	-72.6538	23.0	4009000.0	904811.2	9611538.0	1116351.1	239697630000.0	118.109245	13.1364	189.15126	58.97869	-4204415.0	0.20000003	2.9802322e-08	0.2	0.2	0.0	31.864828	17.957706	229.55753	0.00027419068	-227.0207	112.09683	-1.9614441	-326.11008	-1759.1608	908.8648	-1.9614441	-2466.2295	5966083.0	778940.06	8614077.0	2404386.5	5967842.0	778830.5	8614958.0	2405609.0	5967842.0	778830.5	8614958.0	2405609.0	14108.388	57577.703	781219.4	1084.0938	36221710000000.0	9065900000000.0	74217500000000.0	5786954600000.0	87225240000.0	378494000000.0	6103037400000.0	2731270100.0
10	10999	168.3103244304657	-249.61937	153.70665	-122.279625	-465.8574	80.333336	-646.9597	0.0	-646.9597	-646.9597	226.0	5805125.5	1204333.9	12577209.0	1783013.6	421275630000.0	100.780014	9.15329	154.3565	53.02006	-6016913.5	0.20000003	2.9802322e-08	0.2	0.2	0.0	38.965668	24.238743	268.32556	5.722046e-06	-265.61133	64.34972	-2.8370442	-323.90842	-2143.59	533.4733	-2.8370442	-2470.8655	7949922.5	944158.3	11488084.0	2952721.2	7952067.0	943972.4	11490534.0	2955154.0	7952067.0	943972.4	11490534.0	2955154.0	6941.0444	35678.72	830209.06	1214.6858	64126440000000.0	14445908000000.0	132032380000000.0	8732935700000.0	57102870000.0	289561600000.0	6892471500000.0	3589584000.0
11	11999	192.81937646865845	-1328.4072	1318.6986	-43.856194	-3035.5168	440.0	-3000.2263	0.0	-3000.2263	-3000.2263	1000.0	7177631.5	1359256.6	14232995.0	2633377.0	528076000000.0	99.463394	8.178172	152.00854	51.04021	-7355163.0	0.20000003	2.9802322e-08	0.2	0.2	0.0	41.348206	24.80259	298.92847	9.346008e-05	-299.89954	0.28660056	-298.911	-302.74567	-2124.431	2.5945327	-2119.1116	-2138.8152	9134340.0	383566.78	12206674.0	3260163.0	9136464.0	383566.94	12208805.0	3262297.5	9136464.0	383566.94	12208805.0	3262297.5	4300.6543	179.55098	5728.7603	1528.4205	83622116000000.0	6251145000000.0	149054930000000.0	10642584000000.0	39361618000.0	2925986600.0	69941310000.0	4986162000.0
12	12999	217.3421494960785	-2458.7864	0.0	-2458.7864	-2458.7864	854.0	-2998.5532	0.0	-2998.5532	-2998.5532	1000.0	7334798.5	1370435.0	14256999.0	2846924.8	495640500000.0	92.75021	8.270729	131.81252	47.254036	-7451372.5	0.20000003	2.9802322e-08	0.2	0.2	0.0	42.78722	25.786066	317.74536	6.5285712e-06	-299.92374	0.39810553	-298.29074	-303.74496	-1999.91	3.7675722	-1991.5857	-2026.0035	8221436.5	365719.56	11462555.0	3174362.5	8223437.0	365718.56	11464559.0	3176371.5	8223437.0	365718.56	11464559.0	3176371.5	4112.012	184.22577	5719.782	1581.1365	67758662000000.0	5546471000000.0	131436124000000.0	10089335000000.0	33882188000.0	2776936200.0	65574780000.0	5022276600.0
13	13999	241.8652093410492	-2032.2526	0.0	-2032.2526	-2032.2526	689.0	-2999.8054	0.0	-2999.8054	-2999.8054	1000.0	5892350.0	1239368.9	12900621.0	1978078.9	310428300000.0	94.55667	8.550051	135.20087	46.612194	-5935419.5	0.20000003	2.9802322e-08	0.2	0.2	0.0	38.878777	24.700157	327.17337	0.00021286309	-298.05746	7.006349	-258.5566	-304.86768	-2141.2278	51.663525	-2028.3501	-2178.7476	5868499.0	312099.47	8053217.5	2324453.0	5870640.5	312111.56	8055382.0	2326620.8	5870640.5	312111.56	8055382.0	2326620.8	2742.5295	145.95074	3721.325	1073.3378	34561830000000.0	3436365500000.0	64889180000000.0	5413163500000.0	16141031000.0	1556206200.0	29976695000.0	2497249800.0
14	14999	266.26434445381165	-2988.2305	0.0	-2988.2305	-2988.2305	1000.0	-2998.0261	0.0	-2998.0261	-2998.0261	1000.0	3925212.5	904520.0	9117499.0	1200710.6	137627780000.0	90.01965	7.9677043	126.94072	45.807564	-3933401.8	0.20000003	2.9802322e-08	0.2	0.2	0.0	38.089394	24.05989	313.29507	1.2308359e-05	-299.80322	0.5923159	-293.85135	-301.3426	-2001.2267	9.739568	-1987.4803	-2030.622	3667609.8	179613.86	5625067.5	1491395.8	3669611.2	179618.1	5627071.0	1493426.4	3669611.2	179618.1	5627071.0	1493426.4	1833.535	85.94405	2808.3757	735.4527	13498309000000.0	1286902600000.0	31663930000000.0	2230322200000.0	6743731000.0	626862000.0	15802930000.0	1098344400.0
15	15999	288.47106528282166	-212.92395	467.57297	-28.448084	-2357.1873	67.304344	-3023.7585	0.0	-3023.7585	-3023.7585	1000.0	2750077.8	533306.56	5608161.0	963775.2	68428906000.0	90.1489	11.597432	134.7533	15.510666	-2782686.5	0.20000003	2.9802322e-08	0.2	0.2	0.0	32.53009	23.00188	277.97406	2.2314489e-05	-88.281494	58.576015	2.056155	-258.06976	-582.16705	381.02515	-0.38168633	-1502.9906	2182130.5	274553.4	3045936.0	1035638.3	2182712.8	274626.12	3046498.8	1035641.56	2182712.8	274626.12	3046498.8	1035641.56	12112.353	30919.191	265745.34	861.19446	4839654300000.0	1145072300000.0	9281154000000.0	1072553460000.0	26032590000.0	69905465000.0	706205900000.0	1114702000.0
16	16999	310.5786061286926	-353.58426	321.91495	-64.40528	-1086.3062	110.44444	-1634.3949	0.0	-1634.3949	-1634.3949	516.0	1966718.2	462924.38	4334540.0	575074.25	36287290000.0	91.35916	8.177491	130.17346	42.0977	-1984544.1	0.20000003	2.9802322e-08	0.2	0.2	0.0	34.21496	22.084457	247.88724	4.485203e-05	-193.71423	84.53528	-0.93795604	-314.91785	-1272.2953	575.12646	-0.93795604	-2070.015	1171616.6	180034.42	1852080.2	488873.62	1172888.9	180410.89	1853566.0	489218.97	1172888.9	180410.89	1853566.0	489218.97	2001.1897	7266.532	130678.18	373.78857	1408216500000.0	416633600000.0	3435707000000.0	239335200000.0	2151327500.0	8120483000.0	170767860000.0	289218140.0
