Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	10.395431280136108	17.805092	18.830421	116.31808	4.1791897	20.244898	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3388443	6.663066	38.634113	-2.8871653	8.524761	8.170532	48.535164	-0.8958133	0.020464633	0.20484304	0.9898787	-0.5116168	-8.504295	8.129584	0.68858093	-48.50791	8.511566	8.121972	48.50791	0.0001473061	-0.607416	0.35575724	0.068858095	-1.0265052	138.41318	289.02176	2353.0176	2.1699085e-08	7.3743587	8.663238	48.48068	2.1699085e-09
1	1999	11.502633094787598	17.651352	18.217997	116.31808	4.1791897	20.0	15.211462	0.0	15.211462	15.211462	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.910364	12.674937	58.21284	-1.4719443	13.388344	15.978729	72.98529	-1.0055993	-0.0027694388	0.19679053	0.85960317	-0.5937648	-13.391112	15.91608	0.96887517	-73.018166	13.399716	15.908839	73.018166	0.011786406	-0.65481865	0.3610136	0.096887514	-1.0313661	432.6436	972.3306	5331.653	0.00013891936	12.419249	16.418154	73.05106	1.3891937e-05
2	2999	12.511781930923462	14.312927	9.851372	60.09726	4.4340734	19.211538	14.179233	0.0	14.179233	14.179233	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.691361	8.872643	40.37658	-1.1600287	11.582885	11.304089	49.237614	-1.5618551	0.014014489	0.17808674	0.79372823	-0.41851902	-11.5688715	11.278028	1.5101098	-49.24788	11.582451	11.26408	49.24788	0.0036997846	-0.6611725	0.35885492	0.15101099	-1.0241808	261.03268	457.85092	2425.3538	1.3688407e-05	10.607238	11.868051	49.258152	1.3688407e-06
3	3999	13.525587797164917	17.543024	11.5968685	55.88636	4.821474	21.73913	15.235069	0.0	15.235069	15.235069	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3728356	8.29555	55.499645	-1.2615305	8.599229	10.423447	70.26553	-0.5839567	-0.010715322	0.16777639	0.7403084	-0.49515897	-8.609944	10.398187	0.6560875	-70.31199	8.614313	10.3945675	70.31199	0.010666548	-0.5961552	0.35239238	0.065608755	-1.0212151	182.25343	602.69275	4943.776	0.00011377525	7.44176	10.860306	70.35848	1.1377525e-05
4	4999	14.547254085540771	19.482939	22.068974	140.57355	5.64561	23.452381	15.456269	0.0	15.456269	15.456269	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9369516	5.2687497	25.899164	-2.2096133	8.194176	6.466375	29.774874	-1.6860344	0.0023351125	0.19026738	0.76826936	-0.43108243	-8.191839	6.444244	1.6666322	-29.73505	8.211809	6.4187775	29.73505	0.0014658107	-0.6264307	0.36108923	0.16666321	-1.0418873	108.63452	149.25114	884.1732	2.1486012e-06	7.15065	7.0350895	29.69528	2.1486011e-07
5	5999	33.87092089653015	12.212324	16.764029	63.380493	-1.9301623	15.75	38.405186	0.0	38.405186	38.405186	22.0	5111.5537	6217.6133	43828.574	-558.76263	2048066.1	17.318405	10.882126	45.332558	-10.228458	-5650.845	0.20000003	2.9802322e-08	0.2	0.2	0.0	4.740302	4.4281225	79.7609	1.3113022e-05	21.152668	10.398461	36.057316	2.0001464	-40.23402	27.242712	2.0728948	-90.92103	24778.135	2033.1768	28375.395	21230.357	24818.365	2050.8325	28438.428	21251.088	24818.365	2050.8325	28438.428	21251.088	995.73804	764.9729	2647.3218	272.22327	620157250.0	102511730.0	808744200.0	451608700.0	24121242.0	18456696.0	70083120.0	6737749.0
6	6999	51.76835918426514	49.176266	9.955604	73.71761	36.942837	31.103449	166.96584	0.0	166.96584	166.96584	94.0	42484.477	16195.168	102131.11	-22908.514	57596250.0	28.576036	7.231096	56.37023	0.99553615	-45720.613	0.20000003	2.9802322e-08	0.2	0.2	0.0	7.839478	6.4148707	102.8577	3.488362e-05	71.01521	32.015713	112.62	2.0908942	-80.422165	48.745537	2.2198892	-160.12167	58892.5	15160.62	100208.97	32852.78	58972.92	15174.83	100266.82	32909.848	58972.92	15174.83	100266.82	32909.848	1374.6378	1492.3556	6164.303	359.75656	3708081200.0	1992898600.0	10053435000.0	1083057900.0	79216904.0	83311040.0	379986300.0	18390150.0
7	7999	69.72308540344238	85.38795	86.32922	231.57518	3.1337261	60.058823	185.46666	0.0	185.46666	185.46666	107.0	48754.652	16130.467	97552.77	-35895.29	59686644.0	27.716814	8.356851	49.664238	-0.28051454	-51960.72	0.20000003	2.9802322e-08	0.2	0.2	0.0	6.876623	5.9875593	92.04072	1.9297004e-06	71.12626	31.61612	112.905495	2.0116146	-88.4802	52.363407	2.0847802	-182.38953	46584.23	19580.816	90465.266	14012.494	46672.715	19609.035	90531.55	14082.879	46672.715	19609.035	90531.55	14082.879	867.38525	937.34503	4695.018	191.65643	2562856400.0	1985259100.0	8195961300.0	198327490.0	39039504.0	38914420.0	220431970.0	2700857.5
8	8999	87.45482873916626	135.15833	77.98805	211.39682	14.030107	85.5	213.97417	0.0	213.97417	213.97417	115.0	47685.035	17948.814	91711.08	-39513.58	48788536.0	26.110554	9.154303	52.928684	2.1048079	-50678.51	0.20000003	2.9802322e-08	0.2	0.2	0.0	5.4377737	4.613539	64.802376	1.2565404e-05	78.03062	34.762764	122.64285	2.0842874	-93.175934	46.12452	2.2719314	-163.39375	33611.664	22233.256	72365.53	1414.9397	33704.836	22271.848	72517.9	1506.1208	33704.836	22271.848	72517.9	1506.1208	399.29706	290.47604	1760.8911	16.517893	1632051500.0	1500807600.0	5258845700.0	2268400.0	14469722.0	10935456.0	43131436.0	24877.941
9	9999	105.05671906471252	102.73401	64.13316	205.09529	36.408066	64.375	58.64598	0.0	58.64598	58.64598	46.0	39195.84	18533.775	78547.414	-37915.875	28709676.0	24.641687	10.469821	55.89872	2.2743406	-41718.457	0.20000003	2.9802322e-08	0.2	0.2	0.0	4.809962	4.625551	52.47633	5.275011e-06	27.173115	13.469812	47.98082	1.2691828	-15.982672	10.924402	1.420908	-40.79301	42548.094	10592.672	63019.4	25716.418	42564.074	10602.348	63044.098	25716.4	42564.074	10602.348	63044.098	25716.4	2673.284	663.47284	3825.774	1238.7976	1924110500.0	957492700.0	3974558000.0	661333300.0	109462504.0	25159560.0	201561890.0	62601750.0
